ZIP,Size of adjusted gross income,number of returns,single returns,joint returns,Adjusted gross income
46065,"$100,000 under $200,000",230,** ,210,29070
46065,"$200,000 or more",30,** ,30,9851
,,,,,
46068,,"1,310",520,670,"79,799"
46068,"$1 under $25,000",390,290,60,4407
46068,"$25,000 under $50,000",280,130,110,10360
46068,"$50,000 under $75,000",200,60,120,12173
46068,"$75,000 under $100,000",170,40,140,14710
46068,"$100,000 under $200,000",240,** ,220,31048
46068,"$200,000 or more",30,** ,20,7101
,,,,,
46069,,"3,340","1,420","1,530","210,050"
46069,"$1 under $25,000",1130,820,170,12727
46069,"$25,000 under $50,000",810,380,270,29678
46069,"$50,000 under $75,000",510,130,320,31586
46069,"$75,000 under $100,000",350,50,280,30207
46069,"$100,000 under $200,000",430,40,390,56896
46069,"$200,000 or more",110,** ,100,48956
,,,,,
46070,,"1,000",400,480,"49,051"
46070,"$1 under $25,000",370,230,90,4479
46070,"$25,000 under $50,000",260,110,110,9377
46070,"$50,000 under $75,000",160,60,100,9814
46070,"$75,000 under $100,000",90,** ,70,7461
46070,"$100,000 under $200,000",120,** ,110,17920
46070,"$200,000 or more",** ,** ,** ,** 
,,,,,
46071,,"1,600",680,760,"96,704"
46071,"$1 under $25,000",520,380,80,5888
46071,"$25,000 under $50,000",370,190,120,13564
46071,"$50,000 under $75,000",270,70,170,16928
46071,"$75,000 under $100,000",180,40,150,15896
46071,"$100,000 under $200,000",210,** ,200,27855
46071,"$200,000 or more",50,** ,40,16573
,,,,,
46072,,"4,440","2,030","1,870","239,898"
46072,"$1 under $25,000",1600,1160,240,18662
46072,"$25,000 under $50,000",1110,560,340,40918
46072,"$50,000 under $75,000",640,200,360,39149
46072,"$75,000 under $100,000",480,70,380,41810
46072,"$100,000 under $200,000",520,40,470,68815
46072,"$200,000 or more",90,** ,80,30544
,,,,,
46074,,"17,010","6,480","8,790","1,854,583"
46074,"$1 under $25,000",4280,3500,370,42987
46074,"$25,000 under $50,000",2450,1380,560,90915
46074,"$50,000 under $75,000",1910,760,800,118457
46074,"$75,000 under $100,000",1730,400,1140,150837
46074,"$100,000 under $200,000",4510,350,3920,636081
46074,"$200,000 or more",2130,90,2000,815306
,,,,,
46075,,"3,170","1,330","1,450","251,790"
46075,"$1 under $25,000",680,520,80,7905
46075,"$25,000 under $50,000",640,370,130,23998
46075,"$50,000 under $75,000",560,240,220,35250
46075,"$75,000 under $100,000",470,120,310,40954
46075,"$100,000 under $200,000",700,80,600,92346
46075,"$200,000 or more",120,** ,110,51337
,,,,,
46076,,740,320,330,"41,944"
46076,"$1 under $25,000",240,170,40,3018
46076,"$25,000 under $50,000",180,80,60,6677
46076,"$50,000 under $75,000",130,70,70,7894
46076,"$75,000 under $100,000",70,** ,60,6416
46076,"$100,000 under $200,000",120,** ,100,17939
46076,"$200,000 or more",** ,** ,** ,** 
,,,,,
46077,,"14,420","5,510","7,850","2,568,102"
46077,"$1 under $25,000",3450,3090,210,30323
46077,"$25,000 under $50,000",1560,1000,320,57939
46077,"$50,000 under $75,000",1320,630,480,81710
46077,"$75,000 under $100,000",1140,290,690,99923
46077,"$100,000 under $200,000",3560,340,3010,513353
46077,"$200,000 or more",3390,160,3140,1784854
,,,,,
46104,,450,180,220,"22,107"
46104,"$1 under $25,000",160,100,40,1948
46104,"$25,000 under $50,000",110,50,30,4025
46104,"$50,000 under $75,000",80,30,50,4664
46104,"$75,000 under $100,000",40,** ,40,3718
46104,"$100,000 under $200,000",60,** ,60,7752
46104,"$200,000 or more",** ,** ,** ,** 
,,,,,
46105,,870,340,400,"45,967"
46105,"$1 under $25,000",290,180,60,3804
46105,"$25,000 under $50,000",220,110,70,8027
46105,"$50,000 under $75,000",140,50,90,8487
46105,"$75,000 under $100,000",110,** ,80,9166
46105,"$100,000 under $200,000",110,** ,100,16483
46105,"$200,000 or more",** ,** ,** ,** 
,,,,,
46106,,"3,610","1,420","1,840","360,499"
46106,"$1 under $25,000",1030,810,130,11010
46106,"$25,000 under $50,000",650,350,170,24161
46106,"$50,000 under $75,000",480,150,260,29490
46106,"$75,000 under $100,000",400,50,310,34484
46106,"$100,000 under $200,000",710,60,650,98081
46106,"$200,000 or more",340,** ,320,163273
,,,,,
46107,,"6,390","3,320","1,800","268,949"
46107,"$1 under $25,000",2420,1700,260,30189
46107,"$25,000 under $50,000",2070,1100,390,74843
46107,"$50,000 under $75,000",970,370,430,58982
46107,"$75,000 under $100,000",510,100,360,44295
46107,"$100,000 under $200,000",360,50,310,45623
46107,"$200,000 or more",60,** ,50,15017
,,,,,
46110,,240,100,130,"14,979"
46110,"$1 under $25,000",70,50,** ,750
46110,"$25,000 under $50,000",60,50,40,2281
46110,"$50,000 under $75,000",40,** ,20,2425
46110,"$75,000 under $100,000",30,** ,30,2522
46110,"$100,000 under $200,000",40,** ,40,7001
46110,"$200,000 or more",** ,** ,** ,** 
,,,,,
46112,,"18,770","7,840","8,680","1,434,517"
46112,"$1 under $25,000",5310,4210,510,58678
46112,"$25,000 under $50,000",3540,1960,810,130289
46112,"$50,000 under $75,000",2760,950,1290,170626
46112,"$75,000 under $100,000",2130,400,1530,185431
46112,"$100,000 under $200,000",4050,270,3630,548700
46112,"$200,000 or more",980,50,910,340793
,,,,,
46113,,"7,320","3,250","2,700","388,350"
46113,"$1 under $25,000",2360,1700,260,29392
46113,"$25,000 under $50,000",1950,960,410,71409
46113,"$50,000 under $75,000",1250,390,590,77075
46113,"$75,000 under $100,000",840,120,640,72458
46113,"$100,000 under $200,000",830,80,730,106468
46113,"$200,000 or more",90,** ,70,31548
,,,,,
46115,,910,360,420,"49,446"
46115,"$1 under $25,000",290,190,50,3399
46115,"$25,000 under $50,000",240,110,80,8887
46115,"$50,000 under $75,000",160,60,90,9774
46115,"$75,000 under $100,000",110,** ,90,9026
46115,"$100,000 under $200,000",110,** ,110,18360
46115,"$200,000 or more",** ,** ,** ,** 
,,,,,
46117,,320,130,160,"17,287"
46117,"$1 under $25,000",110,80,40,1239
46117,"$25,000 under $50,000",70,50,** ,2559
46117,"$50,000 under $75,000",50,** ,40,3318
46117,"$75,000 under $100,000",40,** ,30,3362
46117,"$100,000 under $200,000",50,** ,50,6809
46117,"$200,000 or more",** ,** ,** ,** 
,,,,,
46118,,"2,430","1,020","1,140","147,303"
46118,"$1 under $25,000",730,510,120,8697
46118,"$25,000 under $50,000",550,300,170,20210
46118,"$50,000 under $75,000",400,120,230,24790
46118,"$75,000 under $100,000",320,60,230,27478
46118,"$100,000 under $200,000",380,30,350,49131
46118,"$200,000 or more",50,** ,40,16997
,,,,,
46120,,"2,780","1,140","1,260","140,512"
46120,"$1 under $25,000",1030,660,180,12152
46120,"$25,000 under $50,000",700,310,250,25370
46120,"$50,000 under $75,000",430,120,270,26533
46120,"$75,000 under $100,000",290,50,260,25156
46120,"$100,000 under $200,000",280,** ,260,36125
46120,"$200,000 or more",50,** ,40,15176
,,,,,
46121,,"2,470",980,"1,230","166,720"
46121,"$1 under $25,000",720,520,130,8075
46121,"$25,000 under $50,000",570,280,180,21360
46121,"$50,000 under $75,000",390,120,220,24088
46121,"$75,000 under $100,000",310,30,260,27103
46121,"$100,000 under $200,000",410,30,370,54027
46121,"$200,000 or more",70,** ,70,32067
,,,,,
46122,,"7,720","3,280","3,570","527,683"
46122,"$1 under $25,000",2360,1820,270,27401
46122,"$25,000 under $50,000",1660,880,440,60680
46122,"$50,000 under $75,000",1120,360,610,69723
46122,"$75,000 under $100,000",930,120,750,81354
46122,"$100,000 under $200,000",1370,100,1240,182313
46122,"$200,000 or more",280,** ,260,106212
,,,,,
46123,,"18,400","7,650","8,590","1,403,915"
46123,"$1 under $25,000",5190,4120,570,57065
46123,"$25,000 under $50,000",3480,1830,870,128798
46123,"$50,000 under $75,000",2600,940,1160,161582
46123,"$75,000 under $100,000",2170,380,1570,189747
46123,"$100,000 under $200,000",4060,320,3600,548435
46123,"$200,000 or more",900,60,820,318288
,,,,,
46124,,"3,580","1,560","1,410","170,050"
46124,"$1 under $25,000",1430,950,220,17030
46124,"$25,000 under $50,000",980,430,300,35111
46124,"$50,000 under $75,000",490,120,290,30010
46124,"$75,000 under $100,000",310,60,250,26348
46124,"$100,000 under $200,000",310,** ,290,40767
46124,"$200,000 or more",60,** ,60,20784
,,,,,
46126,,"2,320",970,"1,060","132,467"
46126,"$1 under $25,000",750,540,120,8411
46126,"$25,000 under $50,000",540,260,170,19737
46126,"$50,000 under $75,000",380,110,210,23543
46126,"$75,000 under $100,000",270,40,220,23199
46126,"$100,000 under $200,000",330,20,300,43661
46126,"$200,000 or more",50,** ,40,13916
,,,,,
46127,,160,70,80,"7,385"
46127,"$1 under $25,000",60,40,30,701
46127,"$25,000 under $50,000",40,30,** ,1545
46127,"$50,000 under $75,000",30,** ,20,1764
46127,"$75,000 under $100,000",30,** ,30,3375
46127,"$100,000 under $200,000",** ,** ,** ,** 
46127,"$200,000 or more",0,0,0,0
,,,,,
46128,,"1,020",410,470,"53,039"
46128,"$1 under $25,000",340,230,50,4077
46128,"$25,000 under $50,000",250,110,90,8990
46128,"$50,000 under $75,000",180,70,110,11129
46128,"$75,000 under $100,000",120,** ,100,10145
46128,"$100,000 under $200,000",130,** ,120,18698
46128,"$200,000 or more",** ,** ,** ,** 
,,,,,
46130,,"1,220",520,580,"76,198"
46130,"$1 under $25,000",370,280,60,3876
46130,"$25,000 under $50,000",240,130,80,8965
46130,"$50,000 under $75,000",240,80,120,14757
46130,"$75,000 under $100,000",140,30,110,11955
46130,"$100,000 under $200,000",190,** ,180,25394
46130,"$200,000 or more",40,** ,30,11251
,,,,,
46131,,"14,940","6,800","6,070","831,893"
46131,"$1 under $25,000",5200,3790,670,60352
46131,"$25,000 under $50,000",3680,1880,980,134727
46131,"$50,000 under $75,000",2440,760,1350,150344
46131,"$75,000 under $100,000",1520,220,1190,131980
46131,"$100,000 under $200,000",1760,120,1590,231507
46131,"$200,000 or more",340,30,290,122983
,,,,,
46133,,410,180,170,"17,861"
46133,"$1 under $25,000",160,100,30,1703
46133,"$25,000 under $50,000",120,50,40,4266
46133,"$50,000 under $75,000",60,30,40,3641
46133,"$75,000 under $100,000",40,** ,30,3228
46133,"$100,000 under $200,000",30,** ,30,5023
46133,"$200,000 or more",** ,** ,** ,** 
,,,,,
46135,,"7,840","3,640","3,210","395,361"
46135,"$1 under $25,000",2940,2080,450,33904
46135,"$25,000 under $50,000",2060,1050,560,74673
46135,"$50,000 under $75,000",1130,340,690,70156
46135,"$75,000 under $100,000",750,100,620,65039
46135,"$100,000 under $200,000",830,70,760,107998
46135,"$200,000 or more",130,** ,130,43591
,,,,,
46140,,"20,160","9,240","8,440","1,232,472"
46140,"$1 under $25,000",6600,5000,840,76184
46140,"$25,000 under $50,000",4670,2540,1130,170792
46140,"$50,000 under $75,000",3140,1050,1610,194170
46140,"$75,000 under $100,000",2240,370,1710,194719
46140,"$100,000 under $200,000",2940,220,2650,386934
46140,"$200,000 or more",570,60,500,209673
,,,,,
46142,,"16,060","7,300","6,800","1,047,704"
46142,"$1 under $25,000",5030,3890,540,58416
46142,"$25,000 under $50,000",3650,1980,890,132237
46142,"$50,000 under $75,000",2290,840,1100,141634
46142,"$75,000 under $100,000",1760,340,1280,152315
46142,"$100,000 under $200,000",2740,210,2450,364890
46142,"$200,000 or more",590,40,540,198212
,,,,,
46143,,"27,770","12,030","12,050","2,089,681"
46143,"$1 under $25,000",8410,6250,980,99163
46143,"$25,000 under $50,000",6350,3340,1620,232042
46143,"$50,000 under $75,000",3950,1400,1880,242932
46143,"$75,000 under $100,000",2900,570,2110,251518
46143,"$100,000 under $200,000",4740,380,4160,644179
46143,"$200,000 or more",1420,90,1300,619847
,,,,,
