ZIP,Size of adjusted gross income,number of returns,single returns,joint returns,Adjusted gross income
,,,,,
46940,,"1,120",460,530,"60,791"
46940,"$1 under $25,000",390,250,90,4438
46940,"$25,000 under $50,000",270,130,80,9619
46940,"$50,000 under $75,000",180,50,110,10889
46940,"$75,000 under $100,000",120,30,100,10823
46940,"$100,000 under $200,000",140,** ,150,17746
46940,"$200,000 or more",20,** ,** ,7276
,,,,,
46941,,540,230,260,"27,474"
46941,"$1 under $25,000",200,130,50,2199
46941,"$25,000 under $50,000",130,60,40,4688
46941,"$50,000 under $75,000",80,40,60,5056
46941,"$75,000 under $100,000",60,** ,50,5474
46941,"$100,000 under $200,000",70,** ,60,10057
46941,"$200,000 or more",** ,** ,** ,** 
,,,,,
46943,,140,60,40,"4,246"
46943,"$1 under $25,000",70,40,** ,834
46943,"$25,000 under $50,000",40,20,40,1334
46943,"$50,000 under $75,000",30,** ,** ,2078
46943,"$75,000 under $100,000",** ,** ,** ,** 
46943,"$100,000 under $200,000",** ,** ,** ,** 
46943,"$200,000 or more",0,0,0,0
,,,,,
46947,,"12,930","5,980","4,650","575,879"
46947,"$1 under $25,000",5240,3580,740,63405
46947,"$25,000 under $50,000",3910,1730,1110,140576
46947,"$50,000 under $75,000",1800,450,1120,111229
46947,"$75,000 under $100,000",1020,140,830,88166
46947,"$100,000 under $200,000",800,60,720,102234
46947,"$200,000 or more",160,20,130,70269
,,,,,
46950,,320,150,140,"15,544"
46950,"$1 under $25,000",120,90,** ,1467
46950,"$25,000 under $50,000",70,40,40,2504
46950,"$50,000 under $75,000",60,20,30,3437
46950,"$75,000 under $100,000",40,** ,40,3605
46950,"$100,000 under $200,000",30,** ,30,4531
46950,"$200,000 or more",** ,** ,** ,** 
,,,,,
46951,,960,390,470,"45,201"
46951,"$1 under $25,000",330,200,80,3910
46951,"$25,000 under $50,000",270,130,110,9999
46951,"$50,000 under $75,000",160,60,100,9731
46951,"$75,000 under $100,000",100,** ,90,8427
46951,"$100,000 under $200,000",100,** ,90,13134
46951,"$200,000 or more",** ,** ,** ,** 
,,,,,
46952,,"9,070","4,120","3,480","463,184"
46952,"$1 under $25,000",3810,2460,590,46251
46952,"$25,000 under $50,000",2300,1090,720,82980
46952,"$50,000 under $75,000",1140,320,680,70189
46952,"$75,000 under $100,000",800,130,620,68853
46952,"$100,000 under $200,000",830,90,710,107244
46952,"$200,000 or more",190,30,160,87667
,,,,,
46953,,"8,770","4,130","2,830","318,580"
46953,"$1 under $25,000",4300,2630,640,52848
46953,"$25,000 under $50,000",2400,1080,710,85962
46953,"$50,000 under $75,000",1020,300,600,62469
46953,"$75,000 under $100,000",580,70,470,49755
46953,"$100,000 under $200,000",430,50,380,53556
46953,"$200,000 or more",40,** ,30,13990
,,,,,
46960,,530,250,200,"25,879"
46960,"$1 under $25,000",200,130,30,2312
46960,"$25,000 under $50,000",140,80,40,5087
46960,"$50,000 under $75,000",90,40,50,5248
46960,"$75,000 under $100,000",50,** ,40,4468
46960,"$100,000 under $200,000",50,** ,40,8764
46960,"$200,000 or more",** ,** ,** ,** 
,,,,,
46962,,"4,120","1,930","1,760","218,522"
46962,"$1 under $25,000",1600,1150,280,17399
46962,"$25,000 under $50,000",1040,500,340,37420
46962,"$50,000 under $75,000",610,170,390,37767
46962,"$75,000 under $100,000",430,60,360,37068
46962,"$100,000 under $200,000",370,50,330,47911
46962,"$200,000 or more",70,** ,60,40957
,,,,,
46970,,"10,770","4,940","4,210","481,653"
46970,"$1 under $25,000",4490,3040,690,53680
46970,"$25,000 under $50,000",2770,1260,900,99506
46970,"$50,000 under $75,000",1620,440,1000,99792
46970,"$75,000 under $100,000",920,120,750,79423
46970,"$100,000 under $200,000",860,80,770,110152
46970,"$200,000 or more",110,** ,100,39100
,,,,,
46974,,770,330,370,"38,043"
46974,"$1 under $25,000",290,200,60,3227
46974,"$25,000 under $50,000",180,80,70,6802
46974,"$50,000 under $75,000",120,50,80,7539
46974,"$75,000 under $100,000",90,** ,80,7396
46974,"$100,000 under $200,000",90,** ,80,13079
46974,"$200,000 or more",** ,** ,** ,** 
,,,,,
46975,,"6,440","2,860","2,710","339,368"
46975,"$1 under $25,000",2530,1720,420,29056
46975,"$25,000 under $50,000",1680,770,580,60946
46975,"$50,000 under $75,000",900,220,570,55139
46975,"$75,000 under $100,000",590,80,490,50470
46975,"$100,000 under $200,000",620,70,550,81028
46975,"$200,000 or more",120,** ,100,62729
,,,,,
46978,,"1,000",440,440,"48,377"
46978,"$1 under $25,000",370,260,70,4465
46978,"$25,000 under $50,000",240,100,80,8775
46978,"$50,000 under $75,000",170,50,100,10341
46978,"$75,000 under $100,000",110,30,90,9107
46978,"$100,000 under $200,000",110,** ,100,15689
46978,"$200,000 or more",** ,** ,** ,** 
,,,,,
46979,,"2,370",930,"1,190","155,139"
46979,"$1 under $25,000",730,550,100,7882
46979,"$25,000 under $50,000",470,200,180,17151
46979,"$50,000 under $75,000",350,110,190,21990
46979,"$75,000 under $100,000",310,40,250,27245
46979,"$100,000 under $200,000",440,30,410,58640
46979,"$200,000 or more",70,** ,60,22231
,,,,,
46982,,"1,180",490,550,"59,773"
46982,"$1 under $25,000",430,270,100,5175
46982,"$25,000 under $50,000",300,140,100,10917
46982,"$50,000 under $75,000",190,50,120,11855
46982,"$75,000 under $100,000",130,30,110,11406
46982,"$100,000 under $200,000",130,** ,120,20420
46982,"$200,000 or more",** ,** ,** ,** 
,,,,,
46985,,650,320,270,"31,130"
46985,"$1 under $25,000",230,160,40,2491
46985,"$25,000 under $50,000",170,90,60,6326
46985,"$50,000 under $75,000",120,70,60,7236
46985,"$75,000 under $100,000",70,** ,50,5555
46985,"$100,000 under $200,000",60,** ,60,9522
46985,"$200,000 or more",** ,** ,** ,** 
,,,,,
46986,,850,320,420,"45,791"
46986,"$1 under $25,000",280,180,60,3203
46986,"$25,000 under $50,000",210,80,80,7823
46986,"$50,000 under $75,000",140,40,90,8885
46986,"$75,000 under $100,000",100,20,80,8606
46986,"$100,000 under $200,000",120,** ,110,17274
46986,"$200,000 or more",** ,** ,** ,** 
,,,,,
46988,,360,160,180,"16,462"
46988,"$1 under $25,000",130,90,30,1551
46988,"$25,000 under $50,000",110,40,50,3684
46988,"$50,000 under $75,000",60,30,40,3834
46988,"$75,000 under $100,000",30,** ,30,2763
46988,"$100,000 under $200,000",30,0,30,4630
46988,"$200,000 or more",** ,** ,** ,** 
,,,,,
46989,,"1,630",700,780,"83,023"
46989,"$1 under $25,000",610,470,90,6630
46989,"$25,000 under $50,000",340,150,130,12237
46989,"$50,000 under $75,000",250,50,180,15731
46989,"$75,000 under $100,000",200,30,180,17148
46989,"$100,000 under $200,000",230,** ,200,31277
46989,"$200,000 or more",** ,** ,** ,** 
,,,,,
46990,,360,150,190,"21,298"
46990,"$1 under $25,000",120,90,20,1278
46990,"$25,000 under $50,000",90,60,40,3564
46990,"$50,000 under $75,000",50,** ,40,2972
46990,"$75,000 under $100,000",50,** ,40,4064
46990,"$100,000 under $200,000",50,** ,50,9420
46990,"$200,000 or more",** ,** ,** ,** 
,,,,,
46991,,790,340,340,"35,090"
46991,"$1 under $25,000",290,190,50,3761
46991,"$25,000 under $50,000",240,110,90,8728
46991,"$50,000 under $75,000",110,40,70,6962
46991,"$75,000 under $100,000",90,** ,80,7981
46991,"$100,000 under $200,000",60,** ,50,7658
46991,"$200,000 or more",** ,** ,** ,** 
,,,,,
46992,,"7,730","3,610","3,120","408,332"
46992,"$1 under $25,000",3080,2150,500,34997
46992,"$25,000 under $50,000",1940,960,590,69917
46992,"$50,000 under $75,000",1190,340,710,73091
46992,"$75,000 under $100,000",720,90,600,61837
46992,"$100,000 under $200,000",660,70,590,85170
46992,"$200,000 or more",140,** ,130,83320
,,,,,
46994,,"1,250",500,590,"67,965"
46994,"$1 under $25,000",400,290,60,4711
46994,"$25,000 under $50,000",310,130,100,11298
46994,"$50,000 under $75,000",210,50,140,13015
46994,"$75,000 under $100,000",150,30,130,12684
46994,"$100,000 under $200,000",160,** ,160,20187
46994,"$200,000 or more",20,** ,** ,6070
,,,,,
46996,,"3,150","1,450","1,350","159,872"
46996,"$1 under $25,000",1250,830,240,14968
46996,"$25,000 under $50,000",800,410,250,29049
46996,"$50,000 under $75,000",470,140,300,28789
46996,"$75,000 under $100,000",260,40,220,22853
46996,"$100,000 under $200,000",310,30,280,39688
46996,"$200,000 or more",60,** ,60,24525
,,,,,
47001,,"5,140","2,430","2,010","263,887"
47001,"$1 under $25,000",1930,1360,270,22903
47001,"$25,000 under $50,000",1250,640,350,45353
47001,"$50,000 under $75,000",780,280,410,47483
47001,"$75,000 under $100,000",510,80,400,44070
47001,"$100,000 under $200,000",580,70,510,75580
47001,"$200,000 or more",90,** ,70,28498
,,,,,
47003,,420,210,150,"18,078"
47003,"$1 under $25,000",160,120,20,2312
47003,"$25,000 under $50,000",140,60,50,4854
47003,"$50,000 under $75,000",50,30,30,2854
47003,"$75,000 under $100,000",30,** ,20,2729
47003,"$100,000 under $200,000",40,** ,30,5329
47003,"$200,000 or more",** ,** ,** ,** 
,,,,,
47006,,"5,960","2,600","2,740","427,520"
47006,"$1 under $25,000",2030,1550,260,21424
47006,"$25,000 under $50,000",1260,680,340,45815
47006,"$50,000 under $75,000",810,240,490,50697
47006,"$75,000 under $100,000",650,70,540,56936
47006,"$100,000 under $200,000",940,60,870,124304
47006,"$200,000 or more",270,** ,240,128344
,,,,,
47010,,120,40,70,"6,564"
47010,"$1 under $25,000",40,40,** ,446
47010,"$25,000 under $50,000",30,** ,40,1007
47010,"$50,000 under $75,000",20,** ,** ,1455
47010,"$75,000 under $100,000",30,** ,30,3656
47010,"$100,000 under $200,000",** ,** ,** ,** 
47010,"$200,000 or more",0,0,0,0
,,,,,
47011,,430,190,170,"18,667"
47011,"$1 under $25,000",170,110,40,1993
47011,"$25,000 under $50,000",100,40,30,3473
47011,"$50,000 under $75,000",80,40,30,4623
47011,"$75,000 under $100,000",40,** ,30,3167
47011,"$100,000 under $200,000",40,** ,40,5411
47011,"$200,000 or more",** ,** ,** ,** 
,,,,,
47012,,"4,700","2,040","2,140","272,038"
47012,"$1 under $25,000",1640,1150,300,18567
47012,"$25,000 under $50,000",1120,570,350,41439
47012,"$50,000 under $75,000",750,210,450,46291
47012,"$75,000 under $100,000",510,60,420,44277
47012,"$100,000 under $200,000",570,50,520,73193
47012,"$200,000 or more",110,** ,100,48271
,,,,,
47016,,450,170,210,"25,517"
47016,"$1 under $25,000",130,90,** ,1500
47016,"$25,000 under $50,000",100,40,50,3548
47016,"$50,000 under $75,000",90,40,50,5363
47016,"$75,000 under $100,000",60,** ,50,4972
47016,"$100,000 under $200,000",70,** ,60,10134
47016,"$200,000 or more",** ,** ,** ,** 
,,,,,
47017,,290,110,150,"14,802"
47017,"$1 under $25,000",120,70,30,1411
47017,"$25,000 under $50,000",70,40,30,2574
47017,"$50,000 under $75,000",30,** ,30,2021
47017,"$75,000 under $100,000",20,** ,20,2115
47017,"$100,000 under $200,000",50,** ,40,6681
47017,"$200,000 or more",** ,** ,** ,** 
,,,,,
47018,,"2,060",920,890,"103,320"
47018,"$1 under $25,000",730,480,150,8821
47018,"$25,000 under $50,000",540,270,180,19375
47018,"$50,000 under $75,000",320,110,170,19556
47018,"$75,000 under $100,000",230,40,180,19674
47018,"$100,000 under $200,000",210,20,190,27302
47018,"$200,000 or more",30,** ,20,8592
,,,,,
47020,,450,210,190,"21,043"
47020,"$1 under $25,000",160,100,30,1802
47020,"$25,000 under $50,000",140,70,40,4899
47020,"$50,000 under $75,000",80,40,50,5152
47020,"$75,000 under $100,000",30,** ,30,2613
47020,"$100,000 under $200,000",40,** ,40,6577
47020,"$200,000 or more",** ,** ,** ,** 
,,,,,
47022,,"1,580",670,790,"108,270"
47022,"$1 under $25,000",460,380,60,4630
47022,"$25,000 under $50,000",300,170,90,10945
47022,"$50,000 under $75,000",240,80,140,15218
47022,"$75,000 under $100,000",190,40,150,16794
47022,"$100,000 under $200,000",330,** ,300,43363
47022,"$200,000 or more",60,** ,50,17320
,,,,,
47023,,760,310,330,"34,244"
47023,"$1 under $25,000",280,180,50,3157
47023,"$25,000 under $50,000",210,90,70,7670
47023,"$50,000 under $75,000",120,40,80,7404
47023,"$75,000 under $100,000",80,** ,60,6726
47023,"$100,000 under $200,000",70,** ,70,9287
47023,"$200,000 or more",** ,** ,** ,** 
,,,,,
47024,,"1,190",470,520,"51,139"
47024,"$1 under $25,000",470,280,110,5677
47024,"$25,000 under $50,000",320,130,110,11485
47024,"$50,000 under $75,000",190,60,110,11389
47024,"$75,000 under $100,000",120,** ,110,10639
47024,"$100,000 under $200,000",90,** ,80,11949
47024,"$200,000 or more",** ,** ,** ,** 
,,,,,
47025,,"11,090","4,980","4,600","706,506"
47025,"$1 under $25,000",3580,2730,380,40521
47025,"$25,000 under $50,000",2400,1300,580,87648
47025,"$50,000 under $75,000",1720,610,790,105993
47025,"$75,000 under $100,000",1280,200,980,111757
47025,"$100,000 under $200,000",1740,120,1550,228734
47025,"$200,000 or more",370,20,320,131853
,,,,,
47030,,700,300,310,"29,374"
47030,"$1 under $25,000",300,190,70,3336
47030,"$25,000 under $50,000",180,80,70,6718
47030,"$50,000 under $75,000",110,30,80,6680
47030,"$75,000 under $100,000",50,** ,40,4323
47030,"$100,000 under $200,000",60,** ,50,8317
47030,"$200,000 or more",** ,** ,** ,** 
,,,,,
47031,,"2,510","1,090","1,040","120,887"
47031,"$1 under $25,000",990,680,150,11425
47031,"$25,000 under $50,000",610,270,200,22269
47031,"$50,000 under $75,000",390,90,230,23700
47031,"$75,000 under $100,000",250,30,210,22186
47031,"$100,000 under $200,000",240,20,220,30467
47031,"$200,000 or more",30,** ,30,10840
,,,,,
47032,,"1,720",760,730,"86,544"
47032,"$1 under $25,000",590,410,110,6922
47032,"$25,000 under $50,000",480,230,150,17915
47032,"$50,000 under $75,000",270,90,140,16367
47032,"$75,000 under $100,000",180,30,150,15861
47032,"$100,000 under $200,000",170,** ,160,21569
47032,"$200,000 or more",30,** ,20,7910
,,,,,
47036,,560,270,260,"38,254"
47036,"$1 under $25,000",190,150,30,2123
47036,"$25,000 under $50,000",130,80,30,5009
47036,"$50,000 under $75,000",70,40,40,4293
47036,"$75,000 under $100,000",50,** ,50,4602
47036,"$100,000 under $200,000",90,** ,80,11574
47036,"$200,000 or more",30,** ,30,10653
,,,,,
47037,,"1,960",840,850,"94,358"
47037,"$1 under $25,000",730,480,140,8465
47037,"$25,000 under $50,000",530,240,170,19664
47037,"$50,000 under $75,000",310,90,190,19339
47037,"$75,000 under $100,000",200,30,170,16860
47037,"$100,000 under $200,000",170,** ,160,22583
47037,"$200,000 or more",20,0,20,7447
,,,,,
47038,,470,190,200,"21,990"
47038,"$1 under $25,000",180,110,30,2435
47038,"$25,000 under $50,000",120,50,40,4311
47038,"$50,000 under $75,000",80,30,50,4739
47038,"$75,000 under $100,000",40,** ,40,3788
47038,"$100,000 under $200,000",50,** ,40,6717
47038,"$200,000 or more",** ,** ,** ,** 
,,,,,
47040,,"2,380","1,050","1,010","123,713"
47040,"$1 under $25,000",880,580,170,10744
47040,"$25,000 under $50,000",580,310,160,21258
47040,"$50,000 under $75,000",390,120,210,24204
47040,"$75,000 under $100,000",240,20,210,20926
47040,"$100,000 under $200,000",260,20,230,33932
47040,"$200,000 or more",30,** ,30,12649
,,,,,
47041,,"3,020","1,370","1,340","160,189"
47041,"$1 under $25,000",1090,820,150,12141
47041,"$25,000 under $50,000",700,370,210,25245
47041,"$50,000 under $75,000",470,120,290,28673
47041,"$75,000 under $100,000",330,40,280,28556
47041,"$100,000 under $200,000",380,20,360,49249
47041,"$200,000 or more",50,** ,50,16325
,,,,,
47042,,"1,960",910,810,"90,716"
47042,"$1 under $25,000",740,510,120,8612
47042,"$25,000 under $50,000",540,280,170,19705
47042,"$50,000 under $75,000",280,70,170,17220
47042,"$75,000 under $100,000",210,50,180,18487
47042,"$100,000 under $200,000",190,** ,170,26692
47042,"$200,000 or more",** ,** ,** ,** 
,,,,,
47043,,"2,290","1,050",930,"99,192"
47043,"$1 under $25,000",940,630,180,10986
47043,"$25,000 under $50,000",600,280,200,21419
47043,"$50,000 under $75,000",330,110,180,19762
47043,"$75,000 under $100,000",200,30,170,17333
47043,"$100,000 under $200,000",220,** ,200,29692
47043,"$200,000 or more",** ,** ,** ,** 
,,,,,
47060,,"3,300","1,390","1,570","217,150"
47060,"$1 under $25,000",1000,750,140,10949
47060,"$25,000 under $50,000",670,350,200,24689
47060,"$50,000 under $75,000",540,190,280,33612
47060,"$75,000 under $100,000",400,60,320,34816
47060,"$100,000 under $200,000",590,40,550,78252
47060,"$200,000 or more",100,** ,80,34832
,,,,,
47102,,"2,720","1,150","1,070","110,697"
47102,"$1 under $25,000",1160,710,220,13921
47102,"$25,000 under $50,000",770,300,250,28590
47102,"$50,000 under $75,000",400,110,250,24722
47102,"$75,000 under $100,000",200,30,170,17179
47102,"$100,000 under $200,000",190,** ,180,26285
47102,"$200,000 or more",** ,** ,** ,** 
,,,,,
47106,,"2,190",890,"1,060","154,931"
47106,"$1 under $25,000",690,510,120,8137
47106,"$25,000 under $50,000",490,250,140,17916
47106,"$50,000 under $75,000",340,100,210,21363
47106,"$75,000 under $100,000",240,** ,210,20949
47106,"$100,000 under $200,000",360,30,320,47158
47106,"$200,000 or more",70,** ,60,39408
,,,,,
47108,,980,400,420,"39,561"
47108,"$1 under $25,000",400,250,80,4652
47108,"$25,000 under $50,000",280,110,110,10178
47108,"$50,000 under $75,000",150,40,100,9178
47108,"$75,000 under $100,000",90,** ,80,7630
47108,"$100,000 under $200,000",60,** ,50,7923
47108,"$200,000 or more",** ,** ,** ,** 
,,,,,
47110,,200,70,90,"7,560"
47110,"$1 under $25,000",80,40,** ,839
47110,"$25,000 under $50,000",60,30,40,2265
47110,"$50,000 under $75,000",30,** ,20,1647
47110,"$75,000 under $100,000",30,** ,30,2809
47110,"$100,000 under $200,000",** ,** ,** ,** 
47110,"$200,000 or more",** ,** ,** ,** 
,,,,,
47111,,"7,420","3,150","3,250","442,572"
47111,"$1 under $25,000",2320,1660,290,28188
47111,"$25,000 under $50,000",1840,960,450,66994
47111,"$50,000 under $75,000",1110,330,650,68640
47111,"$75,000 under $100,000",830,110,660,71630
47111,"$100,000 under $200,000",1160,90,1050,153992
47111,"$200,000 or more",160,** ,150,53128
,,,,,
47112,,"7,910","3,430","3,530","436,866"
47112,"$1 under $25,000",2800,1960,460,33629
47112,"$25,000 under $50,000",1930,940,610,69935
47112,"$50,000 under $75,000",1220,340,740,75366
47112,"$75,000 under $100,000",820,100,690,70838
47112,"$100,000 under $200,000",980,90,880,127111
47112,"$200,000 or more",160,** ,150,59987
,,,,,
47114,,210,90,90,"9,631"
47114,"$1 under $25,000",80,60,** ,885
47114,"$25,000 under $50,000",50,30,40,1694
47114,"$50,000 under $75,000",20,** ,** ,1379
47114,"$75,000 under $100,000",30,0,20,2247
47114,"$100,000 under $200,000",30,** ,30,3426
47114,"$200,000 or more",0,0,0,0
,,,,,
47115,,"1,100",470,530,"56,068"
47115,"$1 under $25,000",390,270,80,4659
47115,"$25,000 under $50,000",270,130,100,9843
47115,"$50,000 under $75,000",190,40,130,11722
47115,"$75,000 under $100,000",120,30,100,10512
47115,"$100,000 under $200,000",130,** ,120,19332
47115,"$200,000 or more",** ,** ,** ,** 
,,,,,
47116,,330,160,140,"12,609"
47116,"$1 under $25,000",130,80,30,1365
47116,"$25,000 under $50,000",110,80,40,4015
47116,"$50,000 under $75,000",40,** ,30,2670
47116,"$75,000 under $100,000",50,** ,40,4559
47116,"$100,000 under $200,000",** ,** ,** ,** 
47116,"$200,000 or more",** ,** ,** ,** 
,,,,,
47117,,"1,990",780,"1,000","108,064"
47117,"$1 under $25,000",610,380,150,7546
47117,"$25,000 under $50,000",530,260,180,19107
47117,"$50,000 under $75,000",330,100,200,20316
47117,"$75,000 under $100,000",250,40,220,21421
47117,"$100,000 under $200,000",240,** ,230,31448
47117,"$200,000 or more",30,** ,20,8226
,,,,,
47118,,"1,440",590,640,"56,959"
47118,"$1 under $25,000",620,360,160,7085
47118,"$25,000 under $50,000",420,170,170,15216
47118,"$50,000 under $75,000",190,60,130,11534
47118,"$75,000 under $100,000",100,** ,80,8472
47118,"$100,000 under $200,000",110,** ,100,14652
47118,"$200,000 or more",** ,** ,** ,** 
,,,,,
47119,,"5,860","2,340","3,080","642,869"
47119,"$1 under $25,000",1590,1320,170,16749
47119,"$25,000 under $50,000",930,520,260,33646
47119,"$50,000 under $75,000",730,280,360,45730
47119,"$75,000 under $100,000",650,110,500,57394
47119,"$100,000 under $200,000",1310,80,1190,180028
47119,"$200,000 or more",650,30,600,309322
,,,,,
47120,,410,170,190,"18,422"
47120,"$1 under $25,000",150,90,30,1888
47120,"$25,000 under $50,000",110,50,50,4024
47120,"$50,000 under $75,000",70,30,40,4184
47120,"$75,000 under $100,000",50,** ,40,4042
47120,"$100,000 under $200,000",30,** ,30,4284
47120,"$200,000 or more",** ,** ,** ,** 
,,,,,
47122,,"5,320","2,180","2,610","384,312"
47122,"$1 under $25,000",1480,1170,190,16677
47122,"$25,000 under $50,000",1140,600,320,42097
47122,"$50,000 under $75,000",790,250,430,49108
47122,"$75,000 under $100,000",650,90,510,56595
47122,"$100,000 under $200,000",1040,70,960,140111
47122,"$200,000 or more",220,** ,200,79724
,,,,,
47124,,"2,320",900,"1,170","181,568"
47124,"$1 under $25,000",680,500,110,7987
47124,"$25,000 under $50,000",410,210,110,14975
47124,"$50,000 under $75,000",360,120,180,22169
47124,"$75,000 under $100,000",310,40,250,27374
47124,"$100,000 under $200,000",470,30,430,62499
47124,"$200,000 or more",90,** ,90,46564
,,,,,
47125,,700,290,350,"29,512"
47125,"$1 under $25,000",280,180,70,3402
47125,"$25,000 under $50,000",210,90,90,7573
47125,"$50,000 under $75,000",100,20,80,6147
47125,"$75,000 under $100,000",60,** ,60,5311
47125,"$100,000 under $200,000",50,** ,50,7079
47125,"$200,000 or more",** ,** ,** ,** 
,,,,,
47126,,"2,100",820,980,"129,167"
47126,"$1 under $25,000",650,470,90,7860
47126,"$25,000 under $50,000",490,210,160,17923
47126,"$50,000 under $75,000",360,100,200,21799
47126,"$75,000 under $100,000",240,20,210,21011
47126,"$100,000 under $200,000",300,20,270,39365
47126,"$200,000 or more",60,** ,50,21209
,,,,,
47129,,"9,390","4,980","2,570","366,334"
47129,"$1 under $25,000",3940,2730,420,50673
47129,"$25,000 under $50,000",3070,1630,640,110085
47129,"$50,000 under $75,000",1250,440,630,76113
47129,"$75,000 under $100,000",630,130,450,53976
47129,"$100,000 under $200,000",440,50,380,54803
47129,"$200,000 or more",60,** ,50,20684
,,,,,
47130,,"23,300","11,810","7,430","1,195,074"
47130,"$1 under $25,000",8090,5750,810,102774
47130,"$25,000 under $50,000",7000,3920,1360,254986
47130,"$50,000 under $75,000",3560,1400,1610,218677
47130,"$75,000 under $100,000",2070,410,1480,177960
47130,"$100,000 under $200,000",2190,270,1840,285178
47130,"$200,000 or more",390,60,330,155499
,,,,,
47135,,570,220,270,"27,613"
47135,"$1 under $25,000",190,110,40,2330
47135,"$25,000 under $50,000",150,70,60,5546
47135,"$50,000 under $75,000",110,40,70,6748
47135,"$75,000 under $100,000",60,** ,50,5295
47135,"$100,000 under $200,000",60,** ,50,7694
47135,"$200,000 or more",** ,** ,** ,** 
,,,,,
47136,,"2,240",920,"1,130","168,156"
47136,"$1 under $25,000",620,490,80,7438
47136,"$25,000 under $50,000",450,250,130,16629
47136,"$50,000 under $75,000",330,100,190,20887
47136,"$75,000 under $100,000",290,50,220,25603
47136,"$100,000 under $200,000",450,30,420,60136
47136,"$200,000 or more",100,** ,90,37463
,,,,,
47137,,600,250,300,"28,971"
47137,"$1 under $25,000",230,140,60,2622
47137,"$25,000 under $50,000",150,60,70,5204
47137,"$50,000 under $75,000",100,50,70,6300
47137,"$75,000 under $100,000",70,** ,50,5791
47137,"$100,000 under $200,000",50,** ,50,9054
47137,"$200,000 or more",** ,** ,** ,** 
,,,,,
47138,,"1,970",840,880,"93,583"
47138,"$1 under $25,000",740,480,150,9036
47138,"$25,000 under $50,000",510,240,180,18489
47138,"$50,000 under $75,000",330,80,210,20275
47138,"$75,000 under $100,000",190,40,160,16694
47138,"$100,000 under $200,000",200,** ,180,29089
47138,"$200,000 or more",** ,** ,** ,** 
,,,,,
47140,,"1,160",510,500,"45,902"
47140,"$1 under $25,000",510,320,110,5908
47140,"$25,000 under $50,000",320,140,120,11365
47140,"$50,000 under $75,000",160,50,110,9699
47140,"$75,000 under $100,000",90,** ,80,7906
47140,"$100,000 under $200,000",80,** ,80,11024
47140,"$200,000 or more",** ,** ,** ,** 
,,,,,
47141,,730,310,340,"40,744"
47141,"$1 under $25,000",240,170,40,2956
47141,"$25,000 under $50,000",190,100,60,7107
47141,"$50,000 under $75,000",110,40,70,6961
47141,"$75,000 under $100,000",90,** ,70,7743
47141,"$100,000 under $200,000",100,** ,100,15977
47141,"$200,000 or more",** ,** ,** ,** 
,,,,,
47142,,370,160,160,"16,545"
47142,"$1 under $25,000",140,90,30,1672
47142,"$25,000 under $50,000",100,40,40,3510
47142,"$50,000 under $75,000",60,30,40,3590
47142,"$75,000 under $100,000",30,** ,20,2804
47142,"$100,000 under $200,000",40,** ,30,4969
47142,"$200,000 or more",** ,** ,** ,** 
,,,,,
47143,,"1,740",690,850,"109,456"
47143,"$1 under $25,000",500,370,70,5679
47143,"$25,000 under $50,000",380,200,100,14240
47143,"$50,000 under $75,000",290,90,160,17814
47143,"$75,000 under $100,000",250,30,220,21794
47143,"$100,000 under $200,000",290,** ,270,36685
47143,"$200,000 or more",30,** ,30,13244
,,,,,
47145,,860,340,430,"38,440"
47145,"$1 under $25,000",330,210,90,3936
47145,"$25,000 under $50,000",230,100,90,8354
47145,"$50,000 under $75,000",130,30,100,7874
47145,"$75,000 under $100,000",90,** ,80,8055
47145,"$100,000 under $200,000",80,** ,70,10221
47145,"$200,000 or more",** ,** ,** ,** 
,,,,,
47147,,450,180,230,"22,373"
47147,"$1 under $25,000",140,90,40,1617
47147,"$25,000 under $50,000",120,60,50,4177
47147,"$50,000 under $75,000",80,30,50,4705
47147,"$75,000 under $100,000",50,** ,40,4517
47147,"$100,000 under $200,000",60,** ,50,7357
47147,"$200,000 or more",** ,** ,** ,** 
,,,,,
47150,,"23,640","12,180","7,460","1,213,413"
47150,"$1 under $25,000",8930,6340,860,110779
47150,"$25,000 under $50,000",6660,3810,1310,241090
47150,"$50,000 under $75,000",3330,1350,1490,204248
47150,"$75,000 under $100,000",1980,380,1460,170526
47150,"$100,000 under $200,000",2270,250,1930,299717
47150,"$200,000 or more",470,50,410,187053
,,,,,
47161,,"1,720",710,750,"88,436"
47161,"$1 under $25,000",570,390,90,7040
47161,"$25,000 under $50,000",430,200,130,15613
47161,"$50,000 under $75,000",300,80,180,18183
47161,"$75,000 under $100,000",200,20,160,16901
47161,"$100,000 under $200,000",200,20,190,24618
47161,"$200,000 or more",20,** ,** ,6081
,,,,,
47162,,440,200,180,"20,883"
47162,"$1 under $25,000",150,120,** ,2030
47162,"$25,000 under $50,000",140,60,60,5067
47162,"$50,000 under $75,000",60,20,40,3374
47162,"$75,000 under $100,000",50,** ,40,4011
47162,"$100,000 under $200,000",40,** ,40,6401
47162,"$200,000 or more",** ,** ,** ,** 
,,,,,
47163,,690,290,310,"36,397"
47163,"$1 under $25,000",240,170,40,2951
47163,"$25,000 under $50,000",180,70,60,6304
47163,"$50,000 under $75,000",110,50,70,6939
47163,"$75,000 under $100,000",80,** ,70,7188
47163,"$100,000 under $200,000",80,** ,70,13015
