ID,District Name,Mailing Address,City,State,ZIP
4710,SCHOOL CITY OF HAMMOND,41 WILLIAMS ST,HAMMOND,IN,46320
4730,SCHOOL CITY OF HOBART,32 E 7TH ST,HOBART,IN,46342
7200,SCHOOL CITY OF MISHAWAKA,1402 S MAIN ST,MISHAWAKA,IN,46544
4720,SCHOOL TOWN OF HIGHLAND,9145 KENNEDY AVE,HIGHLAND,IN,46322
4740,SCHOOL TOWN OF MUNSTER,8616 COLUMBIA AVE,MUNSTER,IN,46321
5400,SCHOOL TOWN OF SPEEDWAY,5335 W 25TH ST,SPEEDWAY,IN,46224
7230,SCOTT COUNTY SCHOOL DISTRICT 1,PO BOX 9,AUSTIN,IN,47102
7255,SCOTT COUNTY SCHOOL DISTRICT 2,375 E MCCLAIN AVE,SCOTTSBURG,IN,47170
9485,SE NEIGHBORHOOD SCH OF EXCELLENCE,1601 S BARTH AVE,INDIANAPOLIS,IN,46203
3675,SEYMOUR COMMUNITY SCHOOLS,1638 S WALNUT ST,SEYMOUR,IN,47274
7285,SHELBY EASTERN SCHOOLS,2451 N 600 E,SHELBYVILLE,IN,46176
7365,SHELBYVILLE CENTRAL SCHOOLS,803 ST JOSEPH ST,SHELBYVILLE,IN,46176
3435,SHENANDOAH SCHOOL CORPORATION,5100 N RAIDER RD,MIDDLETOWN,IN,47356
3055,SHERIDAN COMMUNITY SCHOOLS,24795 N HINESLEY RD,SHERIDAN,IN,46069
5520,SHOALS COMMUNITY SCHOOL CORP,11741 IRONTON RD,SHOALS,IN,47581
9315,SIGNATURE SCHOOL INC,610 MAIN ST,EVANSVILLE,IN,47708
9760,SMITH ACADEMY FOR EXCELLENCE,6806 EMBERS CT,FORT WAYNE,IN,46815
8625,SMITH-GREEN COMMUNITY SCHOOLS,222 W TULLEY ST,CHURUBUSCO,IN,46723
35,SOUTH ADAMS SCHOOLS,1075 STARFIRE WAY,BERNE,IN,46711
7205,SOUTH BEND COMMUNITY SCH CORP,215 S ST JOSEPH ST,SOUTH BEND,IN,46601
8225,SOUTH CENTRAL AREA SPECIAL ED,600 ELM ST SUITE 2,PAOLI,IN,47454
4940,SOUTH CENTRAL COM SCHOOL CORP,9808 S 600 W,UNION MILLS,IN,46382
1600,SOUTH DEARBORN COM SCHOOL CORP,6109 SQUIRE PL,AURORA,IN,47001
2765,SOUTH GIBSON SCHOOL CORP,1029 W 650 S,FORT BRANCH,IN,47648
3190,SOUTH HARRISON COM SCHOOLS,315 S HARRISON DR,CORYDON,IN,47112
3415,SOUTH HENRY SCHOOL CORP,6972 S SR 103,STRAUGHN,IN,47387
4325,SOUTH KNOX SCHOOL CORP,6116 E SR 61,VINCENNES,IN,47591
5255,SOUTH MADISON COM SCH CORP,203 S HERITAGE WAY,PENDLETON,IN,46064
5845,SOUTH MONTGOMERY COM SCH CORP,PO BOX 8,NEW MARKET,IN,47965
5995,SOUTH NEWTON SCHOOL CORP,13232 S 50 E,KENTLAND,IN,47951
6705,SOUTH PUTNAM COMMUNITY SCHOOLS,3999 S US HWY 231,GREENCASTLE,IN,46135
6865,SOUTH RIPLEY COM SCH CORP,PO BOX 690,VERSAILLES,IN,47042
7445,SOUTH SPENCER COUNTY SCH CORP,PO BOX 26,ROCKPORT,IN,47635
8020,SOUTH VERMILLION COM SCH CORP,PO BOX 387,CLINTON,IN,47842
2100,SOUTHEAST DUBOIS CO SCH CORP,432 E 15TH ST,FERDINAND,IN,47532
2455,SOUTHEAST FOUNTAIN SCHOOL CORP,744 E US HWY 136,VEEDERSBURG,IN,47987
6915,SOUTHEASTERN CAREER CENTER,901 W US 50,VERSAILLES,IN,47042
815,SOUTHEASTERN SCHOOL CORP,6422 E SR 218,WALTON,IN,46994
3115,SOUTHERN HANCOCK CO COM SCH CORP,PO BOX 508,NEW PALESTINE,IN,46163
9520,SOUTHERN IN EDUCATION CENTER,1102 TREE LANE DR,JASPER,IN,47546
8425,SOUTHERN WELLS COM SCHOOLS,9120 S 300 W,PONETO,IN,46781
5390,SOUTHSIDE SP SRVS OF MARION CO,5391 S SHELBY ST,INDIANAPOLIS,IN,46227
2110,SOUTHWEST DUBOIS CO SCH CORP,113 N JACKSON ST,HUNTINGBURG,IN,47542
6260,SOUTHWEST PARKE COM SCH CORP,4851 S COXVILLE RD,MONTEZUMA,IN,47862
7715,SOUTHWEST SCHOOL CORP,110 N MAIN ST,SULLIVAN,IN,47882
7360,SOUTHWESTERN CON SCH SHELBY CO,3406 W 600 S,SHELBYVILLE,IN,46176
4000,SOUTHWESTERN-JEFFERSON CO CON,239 S MAIN CROSS ST,HANOVER,IN,47243
4135,SPECIAL SERVICES - JOHNSON CO,500 EARLYWOOD DR,FRANKLIN,IN,46131
6195,SPENCER-OWEN COMMUNITY SCHOOLS,205 E HILLSIDE,SPENCER,IN,47460
6160,SPRINGS VALLEY COM SCHOOL CORP,498 S LARRY BIRD BLVD,FRENCH LICK,IN,47432
1560,SUNMAN-DEARBORN COM SCH CORP,1 TROJAN PLACE STE B,ST LEON,IN,47012
7775,SWITZERLAND COUNTY SCHOOL CORP,1040 W MAIN ST,VEVAY,IN,47043
3460,TAYLOR COMMUNITY SCHOOL CORP,3750 E CR 300 S,KOKOMO,IN,46902
6350,TELL CITY-TROY TWP SCHOOL CORP,837 17TH ST,TELL CITY,IN,47586
9835,THE BLOOMINGTON PROJECT SCHOOL,349 S WALNUT ST,BLOOMINGTON,IN,47401
9750,THE EXCEL CENTER - ANDERSON,630 NICHOL AVE,ANDERSON,IN,46016
,The Excel Center - Kokomo,101 W Superior St,Kokomo,IN,46901
,The Excel Center - Lafayette,615 N 18th St 2nd Floor,Lafayette,IN,47904
,The Excel Center - Richmond,1635 W Michigan St,Indianapolis,IN,46222
,The Excel Center-Lafayette Square,1635 W Michigan Dr,Indianapolis,IN,46222
