ZIP,City,County,Adjust Gross Income,Number of returns
,,,22413,60
,,,,
,,,49635,970
,,,4164,340
,,,9958,270
,,,9954,160
,,,7821,90
,,,17738,110
,,,** ,** 
,,,,
,,,20100,450
,,,1916,160
,,,3446,100
,,,5916,100
,,,3903,50
,,,4919,40
,,,** ,** 
,,,,
,,,306351,3440
,,,9393,930
,,,21648,590
,,,31466,510
,,,41201,470
,,,94721,710
,,,107922,230
,,,,
,,,67808,1160
,,,4350,400
,,,10448,280
,,,11352,190
,,,11530,130
,,,15628,120
,,,14500,40
,,,,
,,,37818,680
,,,2741,230
,,,5878,160
,,,7039,110
,,,6161,70
,,,15999,110
,,,** ,** 
,,,,
,,,90529,1820
,,,7167,620
,,,17425,480
,,,19247,310
,,,16173,190
,,,24435,200
,,,6082,20
,,,,
,,,106698,1450
,,,5038,440
,,,10742,290
,,,13304,210
,,,13188,150
,,,38662,290
,,,25764,70
,,,,
,,,30080,420
,,,1587,130
,,,3249,90
,,,4365,70
,,,4478,50
,,,16401,80
,,,** ,** 
,,,,
,,,97659,1900
,,,7880,660
,,,18319,510
,,,21011,340
,,,16621,190
,,,22440,170
,,,11388,30
,,,,
,,,100611,2010
,,,8778,720
,,,19855,540
,,,19725,320
,,,18199,210
,,,23408,190
,,,10646,30
,,,,
,,,30713,630
,,,2091,210
,,,5672,150
,,,8161,130
,,,6509,80
,,,8280,60
,,,** ,** 
,,,,
,,,179167,2910
,,,10005,880
,,,24171,650
,,,33283,540
,,,32289,380
,,,49410,380
,,,30009,80
,,,,
,,,101917,1810
,,,7414,610
,,,17292,470
,,,17778,290
,,,17379,200
,,,26487,200
,,,15567,40
,,,,
,,,35026,640
,,,2708,200
,,,5688,160
,,,6630,110
,,,6549,80
,,,13451,90
,,,** ,** 
,,,,
,,,171592,4380
,,,28667,2230
,,,46181,1320
,,,24293,400
,,,14022,160
,,,23634,180
,,,34795,90
,,,,
,,,99356,3750
,,,29793,2360
,,,36231,1050
,,,13702,230
,,,4879,60
,,,14751,50
,,,** ,** 
,,,,
,,,1108490,14320
,,,49686,4320
,,,110740,3020
,,,136587,2200
,,,151207,1730
,,,315428,2380
,,,344842,670
,,,,
,,,397479,9960
,,,55589,4360
,,,114395,3210
,,,76898,1270
,,,49205,570
,,,57121,440
,,,44271,110
,,,,
,,,264456,10050
,,,76678,5850
,,,106501,3080
,,,46001,770
,,,18599,220
,,,16677,130
,,,** ,** 
,,,,
,,,323448,7500
,,,40510,3210
,,,82302,2290
,,,61152,1010
,,,41769,480
,,,54188,420
,,,43527,90
,,,,
,,,338315,9370
,,,55121,4270
,,,105073,2930
,,,74690,1220
,,,48948,570
,,,42259,340
,,,12224,40
,,,,
,,,172304,4490
,,,24400,1920
,,,50312,1400
,,,39828,650
,,,24861,290
,,,26574,210
,,,6329,20
,,,,
,,,1232139,6940
,,,16593,1800
,,,28943,790
,,,39476,640
,,,58522,670
,,,238427,1690
,,,850178,1350
,,,,
,,,659101,13410
,,,56684,4870
,,,130463,3560
,,,131622,2140
,,,118241,1370
,,,169189,1320
,,,52902,150
,,,,
,,,286637,8060
,,,48887,3830
,,,89796,2540
,,,52485,860
,,,37498,440
,,,44959,350
,,,13012,40
,,,,
,,,564700,9790
,,,39269,3250
,,,87182,2380
,,,95858,1550
,,,101674,1170
,,,167113,1290
,,,73604,150
,,,,
,,,202035,4580
,,,22595,1770
,,,48355,1330
,,,44393,720
,,,35907,420
,,,37758,300
,,,13027,40
,,,,
,,,782756,14440
,,,63667,5120
,,,151042,4150
,,,135703,2210
,,,113988,1320
,,,176316,1350
,,,142040,290
,,,,
,,,1069191,18300
,,,73640,6080
,,,171122,4680
,,,183443,2970
,,,162423,1870
,,,286696,2200
,,,191867,500
,,,,
,,,1269869,12380
,,,32851,3320
,,,62765,1680
,,,97269,1560
,,,138279,1580
,,,423553,3130
,,,515152,1110
,,,,
,,,816885,17480
,,,92633,7500
,,,151132,4210
,,,149888,2440
,,,125319,1450
,,,210522,1630
,,,87391,250
,,,,
,,,926683,17630
,,,80420,6640
,,,149881,4140
,,,166403,2700
,,,151865,1760
,,,274136,2090
,,,103978,300
,,,,
,,,74347,1560
,,,6793,570
,,,15218,420
,,,15981,260
,,,13599,160
,,,22756,150
,,,** ,** 
,,,,
,,,34518,630
,,,2216,200
,,,4862,130
,,,7220,120
,,,7605,90
,,,12615,90
,,,** ,** 
,,,,
,,,39369,630
,,,2020,180
,,,5017,140
,,,7453,120
,,,6932,80
,,,17947,110
,,,** ,** 
,,,,
,,,43410,950
,,,4525,410
,,,6075,170
,,,9947,160
,,,7663,90
,,,15200,120
,,,** ,** 
,,,,
,,,17607,350
,,,1287,120
,,,3035,80
,,,3680,60
,,,3419,40
,,,6186,50
,,,** ,** 
,,,,
,,,40713,800
,,,3186,290
,,,7250,200
,,,7393,120
,,,8717,100
,,,14167,90
,,,** ,** 
,,,,
,,,53774,1030
,,,4726,390
,,,7924,220
,,,9319,150
,,,11756,140
,,,20049,130
,,,** ,** 
,,,,
,,,29697,510
,,,1624,150
,,,3499,100
,,,5905,100
,,,4830,60
,,,13839,100
,,,** ,** 
,,,,
,,,191124,3820
,,,15609,1400
,,,34141,940
,,,37718,620
,,,35540,410
,,,50731,400
,,,17385,50
,,,,
,,,39276,790
,,,3279,280
,,,6851,190
,,,8520,140
,,,8580,100
,,,12046,80
,,,** ,** 
,,,,
,,,99319,2150
,,,10320,850
,,,20021,560
,,,19559,320
,,,16392,190
,,,24884,200
,,,8143,30
,,,,
,,,78726,1510
,,,5640,510
,,,14941,400
,,,15029,250
,,,13798,160
,,,20785,160
,,,8533,30
,,,,
,,,92020,1670
,,,6456,540
,,,15200,420
,,,15258,250
,,,18331,210
,,,27665,220
,,,9110,30
,,,,
,,,128135,3120
,,,16236,1340
,,,31201,870
,,,27263,450
,,,21676,250
,,,24724,190
,,,7035,20
,,,,
,,,172706,2810
,,,10175,890
,,,21815,590
,,,27021,440
,,,29359,340
,,,63925,490
,,,20411,60
,,,,
,,,59472,1360
,,,6801,580
,,,12025,330
,,,12129,200
,,,10769,130
,,,17748,120
,,,** ,** 
,,,,
,,,44164,910
,,,3902,330
,,,9175,250
,,,8458,140
,,,7567,90
,,,15062,100
,,,** ,** 
,,,,
,,,60791,1120
,,,4438,390
,,,9619,270
,,,10889,180
,,,10823,120
,,,17746,140
,,,7276,20
,,,,
,,,27474,540
,,,2199,200
,,,4688,130
,,,5056,80
,,,5474,60
,,,10057,70
,,,** ,** 
,,,,
,,,4246,140
,,,834,70
,,,1334,40
,,,2078,30
,,,** ,** 
,,,** ,** 
,,,0,0
,,,,
,,,575879,12930
,,,63405,5240
,,,140576,3910
,,,111229,1800
,,,88166,1020
,,,102234,800
,,,70269,160
,,,,
,,,15544,320
,,,1467,120
,,,2504,70
,,,3437,60
,,,3605,40
,,,4531,30
,,,** ,** 
,,,,
,,,45201,960
,,,3910,330
,,,9999,270
,,,9731,160
,,,8427,100
,,,13134,100
,,,** ,** 
,,,,
,,,463184,9070
,,,46251,3810
,,,82980,2300
,,,70189,1140
,,,68853,800
,,,107244,830
,,,87667,190
,,,,
,,,318580,8770
,,,52848,4300
,,,85962,2400
,,,62469,1020
,,,49755,580
,,,53556,430
,,,13990,40
,,,,
,,,25879,530
,,,2312,200
,,,5087,140
,,,5248,90
,,,4468,50
,,,8764,50
,,,** ,** 
,,,,
,,,218522,4120
,,,17399,1600
,,,37420,1040
,,,37767,610
,,,37068,430
,,,47911,370
,,,40957,70
,,,,
,,,481653,10770
,,,53680,4490
,,,99506,2770
,,,99792,1620
,,,79423,920
,,,110152,860
,,,39100,110
,,,,
,,,38043,770
,,,3227,290
,,,6802,180
,,,7539,120
,,,7396,90
,,,13079,90
,,,** ,** 
,,,,
,,,339368,6440
,,,29056,2530
,,,60946,1680
,,,55139,900
,,,50470,590
,,,81028,620
,,,62729,120
,,,,
,,,48377,1000
,,,4465,370
,,,8775,240
,,,10341,170
,,,9107,110
,,,15689,110
,,,** ,** 
,,,,
,,,155139,2370
,,,7882,730
,,,17151,470
,,,21990,350
,,,27245,310
,,,58640,440
,,,22231,70
,,,,
,,,59773,1180
,,,5175,430
,,,10917,300
,,,11855,190
,,,11406,130
,,,20420,130
,,,** ,** 
,,,,
,,,31130,650
,,,2491,230
,,,6326,170
,,,7236,120
,,,5555,70
,,,9522,60
,,,** ,** 
,,,,
,,,45791,850
,,,3203,280
,,,7823,210
,,,8885,140
,,,8606,100
,,,17274,120
,,,** ,** 
,,,,
,,,16462,360
,,,1551,130
,,,3684,110
,,,3834,60
,,,2763,30
,,,4630,30
,,,** ,** 
,,,,
,,,83023,1630
,,,6630,610
,,,12237,340
,,,15731,250
,,,17148,200
,,,31277,230
,,,** ,** 
,,,,
,,,21298,360
,,,1278,120
,,,3564,90
,,,2972,50
,,,4064,50
,,,9420,50
,,,** ,** 
,,,,
,,,35090,790
,,,3761,290
,,,8728,240
,,,6962,110
,,,7981,90
,,,7658,60
,,,** ,** 
,,,,
,,,408332,7730
,,,34997,3080
,,,69917,1940
,,,73091,1190
,,,61837,720
,,,85170,660
,,,83320,140
,,,,
,,,67965,1250
,,,4711,400
,,,11298,310
,,,13015,210
,,,12684,150
,,,20187,160
,,,6070,20
,,,,
,,,159872,3150
,,,14968,1250
,,,29049,800
,,,28789,470
,,,22853,260
,,,39688,310
,,,24525,60
,,,,
,,,263887,5140
,,,22903,1930
,,,45353,1250
,,,47483,780
,,,44070,510
,,,75580,580
,,,28498,90
,,,,
,,,18078,420
,,,2312,160
,,,4854,140
,,,2854,50
,,,2729,30
,,,5329,40
,,,** ,** 
,,,,
,,,427520,5960
,,,21424,2030
,,,45815,1260
,,,50697,810
,,,56936,650
,,,124304,940
,,,128344,270
,,,,
,,,6564,120
,,,446,40
,,,1007,30
,,,1455,20
,,,3656,30
,,,** ,** 
,,,0,0
,,,,
,,,18667,430
,,,1993,170
,,,3473,100
,,,4623,80
,,,3167,40
,,,5411,40
,,,** ,** 
,,,,
,,,272038,4700
,,,18567,1640
,,,41439,1120
,,,46291,750
,,,44277,510
,,,73193,570
,,,48271,110
,,,,
,,,25517,450
,,,1500,130
,,,3548,100
,,,5363,90
,,,4972,60
,,,10134,70
,,,** ,** 
,,,,
,,,14802,290
,,,1411,120
,,,2574,70
,,,2021,30
,,,2115,20
,,,6681,50
,,,** ,** 
,,,,
,,,103320,2060
,,,8821,730
,,,19375,540
,,,19556,320
,,,19674,230
,,,27302,210
,,,8592,30
,,,,
,,,21043,450
,,,1802,160
,,,4899,140
,,,5152,80
,,,2613,30
,,,6577,40
,,,** ,** 
,,,,
,,,108270,1580
,,,4630,460
,,,10945,300
,,,15218,240
,,,16794,190
,,,43363,330
,,,17320,60
,,,,
,,,34244,760
,,,3157,280
,,,7670,210
,,,7404,120
,,,6726,80
,,,9287,70
,,,** ,** 
,,,,
,,,51139,1190
,,,5677,470
,,,11485,320
,,,11389,190
,,,10639,120
,,,11949,90
,,,** ,** 
,,,,
,,,706506,11090
,,,40521,3580
,,,87648,2400
,,,105993,1720
,,,111757,1280
,,,228734,1740
,,,131853,370
,,,,
,,,29374,700
,,,3336,300
,,,6718,180
,,,6680,110
,,,4323,50
,,,8317,60
,,,** ,** 
,,,,
,,,120887,2510
,,,11425,990
,,,22269,610
,,,23700,390
,,,22186,250
,,,30467,240
,,,10840,30
,,,,
,,,86544,1720
,,,6922,590
,,,17915,480
,,,16367,270
,,,15861,180
,,,21569,170
,,,7910,30
,,,,
,,,38254,560
,,,2123,190
,,,5009,130
,,,4293,70
,,,4602,50
,,,11574,90
,,,10653,30
,,,,
,,,94358,1960
,,,8465,730
,,,19664,530
,,,19339,310
,,,16860,200
,,,22583,170
,,,7447,20
,,,,
,,,21990,470
,,,2435,180
,,,4311,120
,,,4739,80
,,,3788,40
,,,6717,50
,,,** ,** 
,,,,
,,,123713,2380
,,,10744,880
,,,21258,580
,,,24204,390
,,,20926,240
,,,33932,260
,,,12649,30
,,,,
,,,160189,3020
,,,12141,1090
,,,25245,700
,,,28673,470
,,,28556,330
,,,49249,380
,,,16325,50
,,,,
,,,90716,1960
,,,8612,740
,,,19705,540
,,,17220,280
,,,18487,210
,,,26692,190
,,,** ,** 
,,,,
,,,99192,2290
,,,10986,940
,,,21419,600
,,,19762,330
,,,17333,200
,,,29692,220
,,,** ,** 
,,,,
,,,217150,3300
,,,10949,1000
,,,24689,670
,,,33612,540
,,,34816,400
,,,78252,590
,,,34832,100
,,,,
,,,110697,2720
,,,13921,1160
,,,28590,770
,,,24722,400
,,,17179,200
,,,26285,190
,,,** ,** 
,,,,
,,,154931,2190
,,,8137,690
,,,17916,490
,,,21363,340
,,,20949,240
,,,47158,360
,,,39408,70
,,,,
,,,39561,980
,,,4652,400
,,,10178,280
,,,9178,150
,,,7630,90
,,,7923,60
,,,** ,** 
,,,,
,,,7560,200
,,,839,80
,,,2265,60
,,,1647,30
,,,2809,30
,,,** ,** 
,,,** ,** 
,,,,
,,,442572,7420
,,,28188,2320
,,,66994,1840
,,,68640,1110
,,,71630,830
,,,153992,1160
,,,53128,160
,,,,
,,,436866,7910
,,,33629,2800
,,,69935,1930
,,,75366,1220
,,,70838,820
,,,127111,980
,,,59987,160
,,,,
,,,9631,210
,,,885,80
,,,1694,50
,,,1379,20
,,,2247,30
,,,3426,30
,,,0,0
,,,,
,,,56068,1100
,,,4659,390
,,,9843,270
,,,11722,190
,,,10512,120
,,,19332,130
,,,** ,** 
,,,,
,,,12609,330
,,,1365,130
,,,4015,110
,,,2670,40
,,,4559,50
,,,** ,** 
,,,** ,** 
,,,,
,,,108064,1990
,,,7546,610
,,,19107,530
,,,20316,330
,,,21421,250
,,,31448,240
,,,8226,30
,,,,
,,,56959,1440
,,,7085,620
,,,15216,420
,,,11534,190
,,,8472,100
,,,14652,110
,,,** ,** 
,,,,
,,,642869,5860
,,,16749,1590
,,,33646,930
,,,45730,730
,,,57394,650
,,,180028,1310
,,,309322,650
,,,,
,,,18422,410
,,,1888,150
,,,4024,110
,,,4184,70
,,,4042,50
,,,4284,30
,,,** ,** 
,,,,
,,,384312,5320
,,,16677,1480
,,,42097,1140
,,,49108,790
,,,56595,650
,,,140111,1040
,,,79724,220
,,,,
,,,181568,2320
,,,7987,680
,,,14975,410
,,,22169,360
,,,27374,310
,,,62499,470
,,,46564,90
,,,,
,,,29512,700
,,,3402,280
,,,7573,210
,,,6147,100
,,,5311,60
,,,7079,50
,,,** ,** 
,,,,
,,,129167,2100
,,,7860,650
,,,17923,490
,,,21799,360
,,,21011,240
,,,39365,300
,,,21209,60
,,,,
,,,366334,9390
,,,50673,3940
,,,110085,3070
,,,76113,1250
,,,53976,630
,,,54803,440
,,,20684,60
,,,,
,,,1195074,23300
,,,102774,8090
,,,254986,7000
,,,218677,3560
,,,177960,2070
,,,285178,2190
,,,155499,390
,,,,
,,,27613,570
,,,2330,190
,,,5546,150
,,,6748,110
,,,5295,60
,,,7694,60
,,,** ,** 
,,,,
,,,168156,2240
,,,7438,620
,,,16629,450
,,,20887,330
,,,25603,290
,,,60136,450
,,,37463,100
,,,,
,,,28971,600
,,,2622,230
,,,5204,150
,,,6300,100
,,,5791,70
,,,9054,50
,,,** ,** 
,,,,
,,,93583,1970
,,,9036,740
,,,18489,510
,,,20275,330
,,,16694,190
,,,29089,200
,,,** ,** 
,,,,
,,,45902,1160
,,,5908,510
,,,11365,320
,,,9699,160
,,,7906,90
,,,11024,80
,,,** ,** 
,,,,
,,,40744,730
,,,2956,240
,,,7107,190
,,,6961,110
,,,7743,90
,,,15977,100
,,,** ,** 
,,,,
,,,16545,370
,,,1672,140
,,,3510,100
,,,3590,60
,,,2804,30
,,,4969,40
,,,** ,** 
,,,,
,,,109456,1740
,,,5679,500
,,,14240,380
,,,17814,290
,,,21794,250
,,,36685,290
,,,13244,30
,,,,
,,,38440,860
,,,3936,330
,,,8354,230
,,,7874,130
,,,8055,90
,,,10221,80
,,,** ,** 
,,,,
,,,22373,450
,,,1617,140
,,,4177,120
,,,4705,80
,,,4517,50
,,,7357,60
,,,** ,** 
,,,,
,,,1213413,23640
,,,110779,8930
,,,241090,6660
,,,204248,3330
,,,170526,1980
,,,299717,2270
,,,187053,470
,,,,
,,,88436,1720
,,,7040,570
,,,15613,430
,,,18183,300
,,,16901,200
,,,24618,200
,,,6081,20
,,,,
,,,20883,440
,,,2030,150
,,,5067,140
,,,3374,60
,,,4011,50
,,,6401,40
,,,** ,** 
,,,,
,,,36397,690
,,,2951,240
,,,6304,180
,,,6939,110
,,,7188,80
,,,13015,80
,,,** ,** 
,,,,
,,,84368,1630
,,,7425,610
,,,14850,400
,,,15472,250
,,,14434,170
,,,21963,170
,,,10224,30
,,,,
,,,128164,2680
,,,11179,940
,,,26537,750
,,,29206,470
,,,22426,260
,,,30892,240
,,,7924,20
,,,,
,,,33713,680
,,,2973,230
,,,6469,180
,,,6563,110
,,,7272,80
,,,10436,80
,,,** ,** 
,,,,
,,,309845,6940
,,,33194,2790
,,,70408,1950
,,,60491,990
,,,49948,580
,,,70035,550
,,,25769,80
,,,,
,,,303325,6480
,,,31216,2530
,,,66898,1830
,,,57678,940
,,,48092,560
,,,69362,540
,,,30079,80
,,,,
,,,628908,9040
,,,32595,2750
,,,72261,1960
,,,85776,1400
,,,86372,990
,,,210678,1580
,,,141226,360
,,,,
,,,17230,380
,,,1523,130
,,,4502,120
,,,3391,60
,,,3350,40
,,,4464,30
,,,** ,** 
,,,,
,,,31144,580
,,,2482,200
,,,4988,130
,,,5881,100
,,,5775,70
,,,12018,80
,,,** ,** 
,,,,
,,,1459450,21410
,,,83408,7240
,,,182427,4990
,,,201505,3240
,,,191778,2230
,,,381444,2810
,,,418888,900
,,,,
,,,968100,13090
,,,47758,4190
,,,105485,2880
,,,122025,1970
,,,130704,1510
,,,278607,2070
,,,283521,470
,,,,
,,,141231,2490
,,,9947,890
,,,23075,630
,,,21809,350
,,,21619,250
,,,39455,300
,,,25326,70
,,,,
,,,27564,660
,,,3330,270
,,,6757,180
,,,5853,100
,,,5756,70
,,,5868,40
,,,** ,** 
,,,,
,,,8697,200
,,,987,80
,,,1809,50
,,,2028,30
,,,3873,40
,,,** ,** 
,,,** ,** 
,,,,
,,,33041,720
,,,3251,260
,,,7039,190
,,,8705,140
,,,6311,70
,,,7735,60
,,,** ,** 
,,,,
,,,67912,1450
,,,6295,550
,,,13798,370
,,,15301,250
,,,12986,150
,,,19532,130
,,,** ,** 
,,,,
,,,40497,900
,,,3761,320
,,,10375,280
,,,7992,130
,,,7365,90
,,,11004,80
,,,** ,** 
,,,,
,,,23110,510
,,,2348,200
,,,5015,140
,,,4726,80
,,,3543,40
,,,7478,50
,,,** ,** 
,,,,
,,,63823,1210
,,,4825,420
,,,10822,300
,,,11500,190
,,,11269,130
,,,20353,150
,,,5054,20
,,,,
,,,40710,700
,,,2649,240
,,,5774,160
,,,6816,110
,,,7144,80
,,,18327,110
,,,** ,** 
,,,,
,,,45502,850
,,,3258,300
,,,7890,210
,,,8086,130
,,,8447,100
,,,17821,110
,,,** ,** 
,,,,
,,,548194,10390
,,,41981,3720
,,,98593,2660
,,,102448,1660
,,,90653,1050
,,,143371,1100
,,,71148,200
,,,,
,,,114426,2330
,,,10905,880
,,,24408,670
,,,21091,340
,,,16504,190
,,,27653,220
,,,13865,30
,,,,
,,,18168,340
,,,1230,110
,,,3647,100
,,,2964,50
,,,2672,30
,,,7655,50
,,,** ,** 
,,,,
,,,102256,1950
,,,7976,680
,,,17630,480
,,,19095,310
,,,18889,220
,,,28036,220
,,,10630,40
,,,,
,,,540548,10120
,,,46412,3890
,,,95421,2620
,,,88836,1450
,,,79919,920
,,,134143,1030
,,,95817,210
,,,,
,,,34890,820
,,,4064,340
,,,8185,230
,,,7362,120
,,,5502,60
,,,9777,70
,,,** ,** 
,,,,
,,,28137,590
,,,2555,210
,,,5784,160
,,,6384,110
,,,5340,60
,,,8074,50
,,,** ,** 
,,,,
,,,410108,9300
,,,46152,3900
,,,92042,2560
,,,80981,1320
,,,66114,770
,,,85129,670
,,,39690,80
,,,,
,,,16102,340
,,,1512,120
,,,3620,100
,,,3243,50
,,,3067,40
,,,4660,30
,,,** ,** 
,,,,
,,,42260,920
,,,3662,330
,,,9662,270
,,,9115,150
,,,7446,90
,,,12375,80
,,,** ,** 
,,,,
,,,46225,900
,,,3645,300
,,,8764,230
,,,10652,170
,,,7598,90
,,,15566,110
,,,** ,** 
,,,,
,,,804653,15160
,,,61246,5220
,,,161337,4350
,,,142425,2330
,,,110150,1280
,,,221806,1670
,,,107689,310
,,,,
,,,39035,710
,,,2460,220
,,,6740,180
,,,7879,130
,,,6710,80
,,,15246,100
,,,** ,** 
,,,,
,,,74665,1640
,,,6938,610
,,,16033,440
,,,17252,280
,,,15690,180
,,,18752,130
,,,** ,** 
,,,,
,,,388849,11380
,,,71760,5900
,,,107612,3020
,,,77252,1270
,,,54808,640
,,,65037,510
,,,12380,40
,,,,
,,,361195,9320
,,,55518,4590
,,,85761,2410
,,,65361,1070
,,,55902,650
,,,65627,520
,,,33026,80
,,,,
,,,847024,13890
,,,60219,5040
,,,115899,3180
,,,129889,2100
,,,118460,1370
,,,231419,1760
,,,191138,440
,,,,
,,,41836,1350
,,,10012,820
,,,12187,340
,,,5568,90
,,,4686,50
,,,9383,50
,,,** ,** 
,,,,
,,,97279,1860
,,,8098,670
,,,17137,470
,,,17683,290
,,,17665,210
,,,24289,190
,,,12407,30
,,,,
,,,11748,310
,,,1480,130
,,,3242,90
,,,2728,50
,,,4298,40
,,,** ,** 
,,,** ,** 
,,,,
,,,35146,780
,,,3412,290
,,,8928,240
,,,6085,100
,,,6909,80
,,,9812,70
,,,** ,** 
,,,,
,,,86372,1920
,,,9295,800
,,,17597,480
,,,19340,310
,,,13441,160
,,,19590,150
,,,7109,20
,,,,
,,,134163,2480
,,,10473,900
,,,23420,650
,,,23554,380
,,,19761,230
,,,34748,270
,,,22207,50
,,,,
,,,427468,9670
,,,47589,4040
,,,95873,2620
,,,85576,1390
,,,70655,820
,,,87054,690
,,,40721,110
,,,,
,,,81660,1550
,,,6911,580
,,,13376,370
,,,15017,240
,,,14575,170
,,,20694,160
,,,11087,30
,,,,
,,,64339,1580
,,,7859,670
,,,16364,460
,,,14466,230
,,,9777,110
,,,15873,110
,,,** ,** 
,,,,
,,,59811,1250
,,,6045,480
,,,12143,340
,,,11892,190
,,,8626,100
,,,21105,140
,,,** ,** 
,,,,
,,,13760,290
,,,1424,110
,,,2592,70
,,,2949,50
,,,2608,30
,,,4187,30
,,,** ,** 
,,,,
,,,62248,1340
,,,6526,540
,,,12532,340
,,,12366,200
,,,11255,130
,,,19569,130
,,,** ,** 
,,,,
,,,46849,970
,,,3933,350
,,,9109,250
,,,11057,180
,,,8572,100
,,,14178,90
,,,** ,** 
,,,,
,,,64963,1240
,,,5715,460
,,,11935,330
,,,12081,200
,,,9513,110
,,,14800,110
,,,10919,30
,,,,
,,,30716,620
,,,2607,220
,,,6587,180
,,,5194,80
,,,4994,60
,,,11334,80
,,,** ,** 
,,,,
,,,92383,1840
,,,7458,650
,,,17707,490
,,,18344,300
,,,15571,180
,,,23772,190
,,,9531,30
,,,,
,,,193312,4310
,,,21032,1750
,,,41485,1150
,,,36211,600
,,,35208,410
,,,46098,360
,,,13278,40
,,,,
,,,22703,440
,,,1957,160
,,,3590,100
,,,4282,70
,,,4356,50
,,,8518,60
,,,** ,** 
,,,,
,,,129039,2680
,,,11420,990
,,,25862,720
,,,27595,450
,,,21710,250
,,,29628,230
,,,12824,40
,,,,
,,,25422,520
,,,2368,190
,,,4200,120
,,,5859,100
,,,4839,60
,,,8156,50
,,,** ,** 
,,,,
,,,53005,1230
,,,5696,500
,,,11940,330
,,,12431,200
,,,10715,120
,,,12223,80
,,,** ,** 
,,,,
,,,148651,2760
,,,12236,990
,,,22983,630
,,,26822,440
,,,28268,330
,,,41905,330
,,,16437,40
,,,,
,,,25509,550
,,,2544,200
,,,5015,140
,,,5644,90
,,,5015,60
,,,7291,60
,,,** ,** 
,,,,
,,,19296,430
,,,1996,170
,,,3943,110
,,,4465,70
,,,3005,40
,,,5887,40
,,,** ,** 
,,,,
,,,59190,1350
,,,6366,540
,,,13278,370
,,,12001,200
,,,10894,130
,,,16651,110
,,,** ,** 
,,,,
,,,35361,700
,,,3102,260
,,,6349,170
,,,6602,110
,,,7003,80
,,,12305,80
,,,** ,** 
,,,,
,,,557466,12170
,,,62849,5130
,,,118901,3270
,,,102114,1670
,,,81449,950
,,,126140,980
,,,66013,170
,,,,
,,,61788,1270
,,,5663,480
,,,12603,350
,,,13041,210
,,,10390,120
,,,20091,110
,,,** ,** 
,,,,
,,,21033,550
,,,2518,220
,,,6392,180
,,,4874,80
,,,3350,40
,,,3899,30
,,,** ,** 
,,,,
,,,249341,5490
,,,25794,2260
,,,59007,1610
,,,45443,740
,,,39513,460
,,,46104,360
,,,33480,60
,,,,
,,,37435,960
,,,4881,420
,,,9676,260
,,,9394,150
,,,5624,70
,,,7860,60
,,,** ,** 
,,,,
,,,895578,19720
,,,106132,8850
,,,186649,5230
,,,154695,2510
,,,123073,1420
,,,174806,1350
,,,150223,360
,,,,
,,,36940,870
,,,3967,340
,,,8228,230
,,,9640,160
,,,6645,80
,,,8460,60
,,,** ,** 
,,,,
,,,72957,1330
,,,5505,470
,,,10836,290
,,,11690,190
,,,15293,180
,,,21705,170
,,,7928,30
,,,,
,,,51103,1010
,,,4083,330
,,,10594,290
,,,9586,160
,,,9747,110
,,,17093,120
,,,** ,** 
,,,,
,,,37993,770
,,,3285,270
,,,7198,190
,,,8661,140
,,,6752,80
,,,12097,90
,,,** ,** 
,,,,
,,,32397,590
,,,2418,210
,,,5512,150
,,,5441,90
,,,4905,60
,,,14121,80
,,,** ,** 
,,,,
,,,15182,320
,,,1481,120
,,,2935,80
,,,3459,60
,,,2695,30
,,,4612,30
,,,** ,** 
,,,,
,,,89048,2230
,,,11634,990
,,,22766,640
,,,17100,280
,,,15559,180
,,,15743,120
,,,6246,20
,,,,
,,,32274,660
,,,2862,250
,,,5455,150
,,,6677,110
,,,6383,80
,,,10897,70
,,,** ,** 
,,,,
,,,165461,3700
,,,18422,1560
,,,34255,940
,,,32915,540
,,,28696,330
,,,35568,280
,,,15605,50
,,,,
,,,266084,3510
,,,13948,1200
,,,26963,730
,,,31341,510
,,,29907,350
,,,70697,520
,,,93228,200
,,,,
,,,1487385,17790
,,,71444,6240
,,,124325,3440
,,,123880,2010
,,,137729,1580
,,,422959,3060
,,,607048,1460
,,,,
,,,759313,15490
,,,73669,6010
,,,148835,4130
,,,136730,2230
,,,115586,1340
,,,201866,1550
,,,82627,230
,,,,
,,,496495,9590
,,,47107,3980
,,,81691,2280
,,,73251,1190
,,,75127,860
,,,143652,1090
,,,75667,190
,,,,
,,,1568,200
,,,1568,200
,,,** ,** 
,,,** ,** 
,,,** ,** 
,,,0,0
,,,0,0
,,,,
,,,503865,7720
,,,39234,3400
,,,55134,1530
,,,52688,850
,,,52791,610
,,,131514,960
,,,172504,370
,,,,
,,,643488,12860
,,,58963,4960
,,,117487,3240
,,,121113,1970
,,,105946,1230
,,,162372,1250
,,,77607,210
,,,,
,,,221249,4130
,,,16141,1420
,,,34708,950
,,,41136,670
,,,42654,490
,,,68073,530
,,,18537,70
,,,,
,,,17911,430
,,,2098,180
,,,4487,120
,,,4099,70
,,,2584,30
,,,4643,30
,,,** ,** 
,,,,
,,,195094,3700
,,,14246,1200
,,,35773,970
,,,39164,640
,,,34188,400
,,,55133,430
,,,16590,60
,,,,
,,,27183,600
,,,2885,250
,,,5264,140
,,,5843,100
,,,4713,60
,,,8478,50
,,,** ,** 
,,,,
,,,92458,2170
,,,10803,920
