ZIP,City,County,Adjust Gross Income,Number of returns
46910,Akron,Fulton,32067,70
46911,Amboy,Miami,,
46912,Athens,Fulton,527683,7720
46913,Bringhurst,Carroll,27401,2360
46914,Bunker Hill,Miami,60680,1660
46915,Burlington,Carroll,69723,1120
46916,Burrows,Carroll,81354,930
46917,Camden,Carroll,182313,1370
46919,Converse,Miami,106212,280
46920,Cutler,Carroll,,
46921,Deedsville,Miami,1403915,18400
46922,Delong,Fulton,57065,5190
46923,Delphi,Carroll,128798,3480
46926,Denver,Miami,161582,2600
46928,Fairmount,Grant,189747,2170
46929,Flora,Carroll,548435,4060
46930,Fowlerton,Grant,318288,900
46931,Fulton,Fulton,,
46932,Galveston,Cass,170050,3580
46933,Gas City,Grant,17030,1430
46935,Grass Creek,Fulton,35111,980
46936,Greentown,Howard,30010,490
46937,Hemlock,Howard,26348,310
46938,Jonesboro,Grant,40767,310
46939,Kewanna,Fulton,20784,60
46940,La Fontaine,Wabash,,
46941,Lagro,Wabash,132467,2320
46942,Lake Cicott,Cass,8411,750
46943,Laketon,Wabash,19737,540
46945,Leiters Ford,Fulton,23543,380
46946,Liberty Mills,Wabash,23199,270
46947,Logansport,Cass,43661,330
46950,Lucerne,Cass,13916,50
46951,Macy,Miami,,
46952,Marion,Grant,7385,160
46953,Marion,Grant,701,60
46957,Matthews,Grant,1545,40
46958,Mexico,Miami,1764,30
46959,Miami,Miami,3375,30
46960,Monterey,Pulaski,** ,** 
46961,New Waverly,Cass,0,0
46962,North Manchester,Wabash,,
46965,Oakford,Howard,53039,1020
46967,Onward,Cass,4077,340
46968,Ora,Starke,8990,250
46970,Peru,Miami,11129,180
46971,Grissom Arb,Miami,10145,120
46974,Roann,Wabash,18698,130
46975,Rochester,Fulton,** ,** 
46977,Rockfield,Carroll,,
46978,Royal Center,Cass,76198,1220
46979,Russiaville,Howard,3876,370
46980,Servia,Wabash,8965,240
46982,Silver Lake,Kosciusko,14757,240
46984,Somerset,Wabash,11955,140
46985,Star City,Pulaski,25394,190
46986,Swayzee,Grant,11251,40
46987,Sweetser,Grant,,
46988,Twelve Mile,Cass,831893,14940
46989,Upland,Grant,60352,5200
46990,Urbana,Wabash,134727,3680
46991,Van Buren,Grant,150344,2440
46992,Wabash,Wabash,131980,1520
46994,Walton,Cass,231507,1760
46995,West Middleton,Howard,122983,340
46996,Winamac,Pulaski,,
46998,Young America,Cass,17861,410
47001,Aurora,Dearborn,1703,160
47003,West College Corner,Union,4266,120
47006,Batesville,Ripley,3641,60
47010,Bath,Franklin,3228,40
47011,Bennington,Switzerland,5023,30
47012,Brookville,Franklin,** ,** 
47016,Cedar Grove,Franklin,,
47017,Cross Plains,Ripley,395361,7840
47018,Dillsboro,Dearborn,33904,2940
47019,East Enterprise,Switzerland,74673,2060
47020,Florence,Switzerland,70156,1130
47021,Friendship,Ripley,65039,750
47022,Guilford,Dearborn,107998,830
47023,Holton,Ripley,43591,130
47024,Laurel,Franklin,,
47025,Lawrenceburg,Dearborn,1232472,20160
47030,Metamora,Franklin,76184,6600
47031,Milan,Ripley,170792,4670
47032,Moores Hill,Dearborn,194170,3140
47033,Morris,Ripley,194719,2240
47034,Napoleon,Ripley,386934,2940
47035,New Trenton,Franklin,209673,570
47036,Oldenburg,Franklin,,
47037,Osgood,Ripley,1047704,16060
47038,Patriot,Switzerland,58416,5030
47039,Pierceville,Ripley,132237,3650
47040,Rising Sun,Ohio,141634,2290
47041,Sunman,Ripley,152315,1760
47042,Versailles,Ripley,364890,2740
47043,Vevay,Switzerland,198212,590
47060,West Harrison,Dearborn,,
47102,Austin,Scott,2089681,27770
