ZIP,Adjust Gross Income,Number of returns,Amount
46162,"20,049",250,"20,504"
46162,680,70,680
46162,1591,50,1651
46162,2131,30,2131
46162,2697,30,2697
46162,12950,70,13345
46162,** ,** ,** 
,,,
46163,"548,707","6,460","556,095"
46163,18420,1780,18757
46163,39036,1060,39684
46163,49896,800,50598
46163,65309,750,66044
46163,225020,1660,227092
46163,151026,410,153920
,,,
46164,"124,189","2,100","125,622"
46164,7602,640,7714
46164,18881,510,19073
46164,21010,340,21152
46164,23133,270,23423
46164,37560,290,38257
46164,16003,50,16003
,,,
46165,"47,198",720,"48,167"
46165,2341,220,2406
46165,6032,170,6115
46165,6050,100,6097
46165,5970,70,6029
46165,16894,130,17609
46165,9911,30,9911
,,,
46166,"47,272","1,040","47,594"
46166,4492,390,4532
46166,10280,280,10342
46166,9600,160,9656
46166,8810,100,8854
46166,14090,110,14210
46166,** ,** ,** 
,,,
46167,"258,637","3,450","261,709"
46167,10415,990,10610
46167,23720,650,24041
46167,26637,430,26918
46167,39002,450,39297
46167,103527,760,104610
46167,55336,170,56233
,,,
46168,"1,071,096","16,560","1,082,234"
46168,60072,5120,60996
46168,139652,3790,141145
46168,155706,2520,157060
46168,154264,1780,155513
46168,379217,2850,382538
46168,182185,500,184982
,,,
46171,"41,043",830,"41,430"
46171,3344,280,3367
46171,7756,210,7922
46171,9175,150,9225
46171,8590,100,8631
46171,12178,90,12285
46171,** ,** ,** 
,,,
46172,"53,999","1,100","54,527"
46172,5065,420,5167
46172,9901,270,9991
46172,10007,160,10098
46172,10032,120,10149
46172,18994,130,19122
46172,** ,** ,** 
,,,
46173,"232,603","4,990","236,469"
46173,22825,1970,23202
46173,48600,1350,49209
46173,44181,720,44765
46173,38081,440,38687
46173,58409,450,59641
46173,20507,60,20965
,,,
46175,"11,730",260,"11,793"
46175,1287,100,1317
46175,2758,80,2758
46175,2568,40,2601
46175,1983,20,1983
46175,3134,20,3134
46175,** ,** ,** 
,,,
46176,"677,130","13,440","685,802"
46176,58862,5000,59564
46176,132686,3650,133832
46176,122569,1990,123722
46176,106815,1240,108015
46176,172058,1320,174006
46176,84140,240,86663
,,,
46180,"28,275",490,"28,521"
46180,1899,160,1936
46180,4431,120,4508
46180,4532,70,4574
46180,5507,60,5566
46180,11906,80,11937
46180,** ,** ,** 
,,,
46181,"179,570","2,460","182,562"
46181,8657,790,8809
46181,18321,500,18712
46181,21516,350,21750
46181,26697,300,27001
46181,54689,410,55237
46181,49690,110,51053
,,,
46182,"44,834",880,"45,556"
46182,3039,290,3127
46182,8131,220,8245
46182,9844,160,9932
46182,9337,110,9531
46182,14483,100,14721
46182,** ,** ,** 
,,,
46184,"325,210","6,050","328,448"
46184,23096,1990,23485
46184,56706,1540,57273
46184,60557,990,61002
46184,66663,770,67345
46184,88944,690,89711
46184,29244,70,29632
,,,
46186,"52,714",850,"53,417"
46186,3276,270,3324
46186,7091,190,7175
46186,9512,150,9609
46186,8909,100,9023
46186,14343,110,14703
46186,9583,30,9583
,,,
46201,"417,279","13,160","421,793"
46201,90339,7040,91549
46201,139446,3940,140760
46201,75922,1250,76737
46201,41174,480,41551
46201,51064,400,51559
46201,19334,50,19637
,,,
46202,"704,276","9,080","715,175"
46202,38426,3160,39289
46202,86420,2350,87895
46202,81508,1350,82810
46202,56495,660,57139
46202,135129,980,137394
46202,306298,580,310648
,,,
46203,"666,262","16,730","673,323"
46203,97894,7640,99359
46203,184039,5120,185728
46203,126449,2080,127555
46203,79801,930,80496
46203,106803,820,108006
46203,71276,140,72179
,,,
46204,"551,529","4,150","559,279"
46204,13284,1020,13635
46204,37721,990,38523
46204,50494,830,51224
46204,33246,390,33575
46204,74721,550,75686
46204,342063,370,346636
,,,
46205,"782,503","13,660","794,786"
46205,69752,5360,71023
46205,146421,4090,148455
46205,99672,1640,101142
46205,72408,840,73265
46205,162900,1190,165092
46205,231350,540,235809
,,,
46208,"531,557","9,240","539,360"
46208,55186,4340,56037
46208,83933,2380,85016
46208,53956,890,54695
46208,39771,460,40219
46208,99420,720,100554
46208,199291,450,202839
,,,
46214,"511,960","12,410","516,458"
46214,62335,4760,63169
46214,150376,4210,151623
46214,106001,1740,106833
46214,71544,830,72055
46214,101984,800,102813
46214,19720,70,19965
,,,
46216,"78,082","1,240","79,301"
46216,4995,420,5058
46216,11275,310,11408
46216,11815,190,11937
46216,11437,130,11518
46216,19554,140,19849
46216,19006,50,19531
,,,
46217,"954,949","16,530","964,961"
46217,58120,4810,58973
46217,171879,4720,173564
46217,171636,2790,173113
46217,147253,1700,148436
46217,282267,2150,284707
46217,123794,360,126168
,,,
46218,"318,114","12,690","320,307"
46218,99857,7780,100987
46218,127207,3650,127807
46218,51072,860,51377
46218,22812,270,22912
46218,17166,130,17224
46218,** ,** ,** 
,,,
46219,"725,124","17,310","733,711"
46219,92011,7160,93195
46219,192693,5350,194503
46219,144489,2360,145882
46219,103335,1200,104218
46219,141313,1100,142746
46219,51283,140,53167
,,,
46220,"1,770,821","19,750","1,803,752"
46220,60786,4950,62424
46220,184531,4930,188104
46220,187773,3070,190983
46220,163110,1880,165512
46220,453549,3310,460525
46220,721072,1610,736204
,,,
46221,"505,729","12,520","508,987"
46221,63830,5030,64514
46221,142045,3940,142864
46221,111049,1820,111721
46221,80148,930,80621
46221,94218,750,94828
46221,14439,50,14439
,,,
46222,"403,997","14,460","407,083"
46222,103313,7930,104588
46222,165607,4760,166525
46222,69343,1160,69714
46222,30272,360,30479
46222,35462,250,35777
46222,** ,** ,** 
,,,
46224,"608,394","17,000","613,354"
46224,105094,7810,106419
46224,203321,5780,204633
46224,110267,1840,111007
46224,67543,790,68044
46224,89438,700,90327
46224,32731,80,32924
,,,
46225,"99,519","2,920","100,557"
46225,18731,1440,19016
46225,33682,950,34004
46225,19344,320,19541
46225,9355,110,9419
46225,18407,100,18577
46225,** ,** ,** 
,,,
46226,"775,958","20,120","782,931"
46226,132883,10050,134349
46226,221156,6260,222656
46226,122066,2010,122924
46226,76826,890,77302
46226,95830,740,96742
46226,127197,170,128958
,,,
46227,"1,119,609","26,730","1,129,763"
46227,139606,10730,141169
46227,307338,8670,309426
46227,223656,3660,225300
46227,150093,1740,151458
46227,221723,1730,223796
46227,77193,200,78614
,,,
46228,"529,676","7,770","536,656"
46228,31683,2590,32218
46228,70939,1950,71841
46228,69124,1130,69952
46228,66446,770,67095
46228,131968,980,133426
46228,159516,350,162124
,,,
46229,"552,057","13,680","556,772"
46229,73720,5740,74640
46229,153905,4270,154897
46229,111261,1820,112106
46229,81591,940,82230
46229,105879,840,106767
46229,25701,70,26132
,,,
46231,"245,846","5,150","247,929"
46231,22262,1800,22575
46231,53812,1480,54318
46231,53581,870,53950
46231,39154,450,39468
46231,65982,510,66563
46231,11055,40,11055
,,,
46234,"799,345","13,110","807,669"
46234,48804,4000,49506
46234,123756,3390,125006
46234,131231,2130,132386
46234,126009,1450,127038
46234,238649,1800,240689
46234,130896,340,133044
,,,
46235,"496,460","14,680","500,287"
46235,91233,7100,92389
46235,163509,4590,164569
46235,101599,1680,102328
46235,64258,750,64666
46235,69067,540,69541
46235,6794,20,6794
,,,
46236,"1,292,060","13,620","1,312,487"
46236,42496,3820,43343
46236,97066,2620,98580
46236,118855,1920,120412
46236,130918,1510,132749
46236,362418,2640,366566
46236,540307,1110,550837
,,,
46237,"1,235,714","21,110","1,248,577"
46237,78965,6440,80140
46237,202149,5520,204176
46237,224168,3650,226162
46237,199750,2300,201435
46237,361511,2740,364728
46237,169171,460,171936
,,,
46239,"866,896","14,770","876,482"
46239,51613,4380,52476
46239,132830,3590,134195
46239,157569,2550,159223
46239,151775,1750,153248
46239,290868,2240,293624
46239,82241,260,83716
,,,
46240,"1,211,480","11,420","1,232,924"
46240,41814,3310,42710
46240,110640,3030,112741
46240,105298,1720,106844
46240,80428,930,81612
46240,204599,1490,208522
46240,668701,940,680495
,,,
46241,"461,837","14,100","464,838"
46241,88085,6790,89149
46241,164989,4640,165854
46241,97237,1610,97716
46241,54595,640,54832
46241,48322,390,48678
46241,8609,30,8609
,,,
46250,"828,576","10,780","842,533"
46250,39657,3070,40506
46250,123587,3370,125427
46250,100592,1650,101861
46250,69707,800,70567
46250,175212,1280,177838
46250,319821,610,326334
,,,
46254,"809,159","19,360","816,606"
46254,102149,7750,103632
46254,240636,6710,242633
46254,155355,2580,156645
46254,95754,1110,96364
46254,131207,1010,132191
46254,84058,200,85141
,,,
46256,"1,127,382","12,000","1,146,318"
46256,39519,3410,40341
46256,94030,2570,95482
46256,100601,1620,101957
46256,103175,1190,104395
46256,309099,2260,312670
46256,480958,950,491473
,,,
46259,"550,937","6,140","557,726"
46259,16798,1640,17074
46259,33796,920,34308
46259,47937,770,48634
46259,64333,740,65055
46259,219992,1590,221983
46259,168081,480,170672
,,,
46260,"1,322,083","16,870","1,343,233"
46260,80486,6180,81729
46260,165288,4620,167168
46260,122658,2020,123950
46260,100991,1170,102207
46260,245259,1800,248373
46260,607401,1080,619806
,,,
46268,"638,936","13,470","645,981"
46268,61604,4790,62651
46268,154847,4260,156561
46268,124885,2050,126193
46268,92577,1070,93279
46268,150641,1150,152034
46268,54382,150,55263
,,,
46278,"636,101","4,510","645,482"
46278,12099,1160,12467
46278,25463,690,25944
46278,32897,540,33458
46278,35188,400,35517
46278,144392,1010,146128
46278,386062,710,391968
,,,
46280,"300,411","4,240","305,073"
46280,14027,1150,14348
46280,37056,990,37859
46280,48465,790,49095
46280,41194,480,41678
46280,88616,660,89997
46280,71053,170,72096
,,,
46290,"38,446",150,"39,038"
46290,279,30,279
46290,1937,40,2020
46290,** ,** ,** 
46290,** ,** ,** 
46290,4663,30,4663
46290,31567,50,32076
,,,
46303,"482,972","7,700","488,143"
46303,27476,2380,27817
46303,59666,1620,60336
46303,75363,1210,75995
46303,86560,1000,87222
46303,172583,1330,174119
46303,61324,160,62654
,,,
46304,"971,860","12,830","985,211"
46304,45079,3980,45948
46304,85874,2360,87065
46304,111673,1790,112929
46304,136404,1560,137501
46304,339792,2530,343039
46304,253038,610,258729
,,,
46307,"2,470,257","32,860","2,500,220"
46307,108598,9870,110736
46307,215015,5830,217746
46307,296100,4770,299373
46307,347745,4000,350591
46307,931396,6930,938894
46307,571403,1460,582880
,,,
46310,"362,223","6,510","366,593"
46310,24973,2250,25309
46310,48636,1330,49364
46310,66387,1070,66954
46310,68785,800,69393
46310,126131,970,127483
46310,27311,90,28090
,,,
46311,"947,483","11,190","960,559"
46311,34587,3130,35081
46311,70962,1920,71909
46311,103927,1680,104931
46311,121714,1400,122855
46311,327409,2440,330438
46311,288884,620,295345
,,,
46312,"306,841","10,090","308,629"
46312,73032,5660,73899
46312,95157,2720,95597
46312,56363,930,56539
46312,38334,450,38458
46312,43955,330,44136
46312,** ,** ,** 
,,,
46319,"464,542","9,090","467,638"
46319,39006,3190,39481
46319,81897,2250,82561
46319,95718,1560,96254
46319,82594,950,83044
46319,136008,1050,136634
46319,29319,90,29664
,,,
46320,"147,899","5,020","148,870"
46320,37422,2830,37919
46320,50540,1440,50801
46320,26024,430,26144
46320,15672,180,15709
46320,18241,140,18297
46320,** ,** ,** 
,,,
46321,"1,144,722","11,910","1,161,895"
46321,35349,3400,36164
46321,71074,1930,72216
46321,96281,1540,97480
46321,120310,1380,121586
46321,359339,2610,363649
46321,462369,1050,470800
,,,
46322,"727,030","12,490","733,660"
46322,45071,3900,45744
46322,103502,2810,104563
46322,138729,2240,139902
46322,134612,1550,135428
46322,233801,1790,235470
46322,71315,200,72553
,,,
46323,"402,429","10,150","404,911"
46323,54174,4290,54744
46323,105469,2920,106157
46323,95756,1560,96295
46323,68952,800,69298
46323,69915,550,70254
46323,8163,30,8163
,,,
46324,"397,144","9,820","399,943"
46324,53375,4160,54051
46324,99455,2780,100156
46324,91432,1490,91892
46324,65009,760,65338
46324,75040,590,75673
46324,12833,40,12833
,,,
46327,"151,769","4,490","152,597"
46327,28078,2160,28396
46327,50085,1390,50354
46327,34415,560,34529
46327,19413,230,19476
46327,19778,150,19842
46327,** ,** ,** 
,,,
46340,"33,903",580,"34,321"
46340,2129,180,2173
46340,4835,130,4835
46340,6245,100,6327
46340,6367,70,6502
46340,14327,100,14484
46340,** ,** ,** 
,,,
46341,"320,031","5,040","323,407"
46341,19335,1670,19618
46341,34809,950,35232
46341,44864,720,45153
46341,57364,660,57807
46341,123048,940,124036
46341,40611,100,41561
,,,
46342,"813,921","15,800","819,798"
46342,66722,5670,67519
46342,133787,3660,134949
46342,156973,2530,158086
46342,156268,1810,157240
46342,251928,1960,253226
46342,48243,170,48778
,,,
46347,"142,245","2,240","143,875"
46347,7832,690,7979
46347,15974,430,16188
46347,21154,340,21385
46347,26934,310,27331
46347,56727,430,57368
46347,13624,40,13624
,,,
46348,"28,532",510,"28,997"
46348,2307,190,2353
46348,3855,110,3885
46348,4513,70,4579
46348,5055,60,5055
46348,12802,80,13125
46348,** ,** ,** 
,,,
46349,"86,710","1,520","87,414"
46349,6149,530,6191
46349,12653,340,12771
46349,12571,200,12655
46349,17755,200,17811
46349,37582,250,37986
46349,** ,** ,** 
,,,
46350,"1,200,816","20,590","1,216,566"
46350,89713,7550,90874
46350,176862,4870,178535
46350,178357,2900,179980
46350,185125,2130,186718
46350,344343,2640,348082
46350,226416,500,232377
,,,
46356,"558,028","8,890","564,013"
46356,31833,2780,32350
46356,62729,1730,63418
46356,84598,1360,85617
46356,100484,1150,101239
46356,223123,1710,224703
46356,55261,160,56686
,,,
46360,"930,364","19,970","941,296"
46360,112180,8970,113580
46360,182907,5100,184500
46360,155946,2520,157366
46360,125926,1460,126975
46360,203246,1550,205702
46360,150159,370,153173
,,,
46365,"28,814",540,"29,022"
46365,2142,180,2175
46365,4410,120,4441
46365,4967,80,5053
46365,5748,70,5748
46365,11547,90,11605
46365,** ,** ,** 
,,,
46366,"121,935","2,560","123,467"
46366,11771,1020,11919
46366,22043,610,22248
46366,23534,380,23765
46366,23522,270,23710
46366,31713,250,32473
46366,9352,30,9352
,,,
46368,"1,017,352","19,120","1,024,805"
46368,86734,7130,87581
46368,160055,4400,161460
46368,170360,2750,171617
